,name,desc_sub,location,origin,roast,est_price,review_date,agtron,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3
176,Flowery Nekisse,"Rich-toned, resonantly floral. Wisteria, myrrh, al","Kaohsiung City, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,$18.00/8 ounces,December 2018,60/80,9.0,9.0,9.0,9.0,9.0,,"Rich-toned, resonantly floral. Wisteria, myrrh, almond nougat, lemon curd, dried cherry in aroma and cup. Sweetly tart structure with zesty, bright acidity; full, syrupy mouthfeel. The finish leads with tart lemon curd and cherry notes, followed by deep wisteria with an undercurrent of almond.","This coffee earned the second-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report. Nekisse is a proprietary brand of Ethiopia coffee developed by Ninety Plus, a distinguished boutique developer and importer of innovative small-lot coffees from Ethiopia and Panama. Grown near Neji in the Sidama/Sidamo growing region, this is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Ho Soo Tsai is a micro-roaster based in Kaohsiung City, Taiwan. Visit https://www.facebook.com/LPCXHST or call +886-72364657 for more information.",A floral-driven natural-processed Ethiopia Geisha that invokes a stroll under wisteria vines; tart fruit and sweet nut tones provide support and balance.Click here for more information about coffees from Ethiopia.
177,Colombia El Obraje Gesha,"Complex, multi-faceted, spice-toned. Dahlia-like f","Hillsborough, North Carolina","Narino Department, southern Colombia",Medium-Light,$24.00/6 ounces,December 2018,54/74,9.0,9.0,9.0,9.0,8.0,,"Complex, multi-faceted, spice-toned. Dahlia-like flowers, bergamot, almond, vanilla, roasted cacao nib in aroma and cup. Sweetly tart structure with balanced, bright acidity; delicate, silky-smooth mouthfeel. Bergamot and vanilla-toned cocoa carry the quiet, balanced finish.","This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report.  Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also spelled Geisha) by Pablo Guerrero. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. The majority of Gesha coffees are grown in the Boquete region of Panama, but there is increased experimentation with this variety throughout Latin America, especially Colombia, where this exceptional version was grown. Joe Van Gogh is a small-batch roasting company with a focus on certified organic coffees. In addition to its Internet store, it operates six coffeehouses in Durham, Chapel Hill and Greensboro, North Carolina. Visit www.joevangogh.com or call 919-644-0111 for more information.",Layers upon layers of spicy floral and fruit notes resonate in this natural-processed Gesha from Colombia.
178,Camilina Geisha,Crisply floral and sweetly herb-toned. Dark chocol,"San Diego, California","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,$45.00/8 ounces,December 2018,54/78,9.0,9.0,9.0,9.0,8.0,,"Crisply floral and sweetly herb-toned. Dark chocolate, lavender, dried pear, tangerine zest, frankincense in aroma and cup. Sweet-tart in structure with lively, expansive acidity; crisp, syrupy mouthfeel. The finish consolidates to pretty notes of lavender and dark chocolate, with a hint of tangerine zest.","This coffee tied for the third-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report. Produced from trees of the rare Ethiopia-derived botanical variety Geisha (also Gesha) by farmer Roberto Brenes of Finca La Aurora. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Geisha/Gesha variety continues to distinguish itself as one of the world’s most unique coffees.  This version was processed by the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A washed Panama Geisha cup, classic in its high-toned confidence, paradoxically both crisp and richly syrupy."
179,Mama Cata Geisha Washed,"Crisp yet very sweet, delicately intricate. Lavend","Branford, Connecticut","Alto Quiel, Boquete growing region, western Panama",Medium-Light,$54.00/12 ounces,December 2018,56/84,9.0,9.0,9.0,9.0,8.0,,"Crisp yet very sweet, delicately intricate. Lavender, lemon zest, apple, walnut, fresh pipe tobacco in aroma and cup. In structure massively sweet, gently tart; light, velvety, lively mouthfeel. Apple, lemon and fresh tobacco notes saturate a quiet, lightly drying finish.  ","Produced from old trees of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha) grown by farmer Jose David Garrido on the Mama Cata Estate. With its elongated beans and distinctive floral and chocolate cup, the Geisha variety continues to distinguish itself as one of the world’s most unique coffees. This version was processed by the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.",Delicate yet extravagant rendition of the great Geisha profile.
180,Panama Finca Lerida Geisha Black Honey,"Big, round, deeply and pungently layered. Fragrant","Branford, Connecticut","Jaramillo, Boquete growing region, western Panama",Medium-Light,$39.99/12 ounces,December 2018,50/75,9.0,8.0,9.0,9.0,8.0,,"Big, round, deeply and pungently layered. Fragrant cedar, lavender, baker’s chocolate, Concord grape, a hint of mace in aroma and cup. Bittersweet and rich in structure; fat and plush in mouthfeel with a drying edge. Concord grape and cedar dominate in a continuing pungent but quite sweet finish. ","Produced from trees of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha) on the Chiari family’s Finca Lerida Esplenderosa in Jaramillo under the management of family member Sonia Amoruso. With its elongated beans and distinctive cup, the Geisha variety continues to distinguish itself as one of the world’s most unique coffees. In all honey processing methods, skins are removed, but some sweet pulp or fruit flesh (“honey”) is allowed to adhere to the beans during drying. In the black honey variation, virtually all of the pulp is allowed to dry on the beans and the beans may be subject to a particularly slow drying process, often netting a deep, pungent profile. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.","Grapey sweetness working against a complex cedary, lavender-toned pungency distinguishes this intriguing black-honey-processed version of great Geisha cup."
181,Panama Finca Lerida Geisha Washed,"Crisp, delicately but intricately floral- and spic","Branford, Connecticut","Alto Quiel, Boquete growing region, western Panama",Medium-Light,$39.99/12 ounces,December 2018,57/79,9.0,9.0,8.0,9.0,8.0,,"Crisp, delicately but intricately floral- and spice-toned. Jasmine, walnut, pipe tobacco, sandalwood, ripe peach, a hint of lime zest in aroma and cup. Brisk and vivacious in structure; light, silky mouthfeel. Flavor layers but rings on in a jasmine-toned, gently drying finish.","Produced from trees of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha) on the Chiari family’s Finca Lerida in Alto Quiel under the management of family member Sonia Amoruso. With its elongated beans and distinctive cup, the Geisha variety continues to distinguish itself as one of the world’s most unique coffees. This version was processed by the traditional wet or “washed” method, in which skin and fruit flesh are removed from the beans or seeds before they are dried. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the  times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.",Another essay in delicately lush extravagance and aromatic originality from the great Geisha variety.
182,Ethiopia Kayon Mountain,"Delicately sweet-tart, cocoa-toned. Roasted cacao ","Putnam, Connecticut","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",Medium-Light,$16.95/12 ounces,November 2018,53/73,9.0,8.0,9.0,9.0,8.0,,"Delicately sweet-tart, cocoa-toned. Roasted cacao nib, lemon zest, narcissus, mango, frankincense in aroma and cup. Intricately sweet, high-toned, with bright, juicy acidity; lush, syrupy mouthfeel. The richly sweet finish consolidates to cocoa-toned mango supported by notes of frankincense.","Produced by Ato Esmael and his friends and family at their estate farm in the Guji Zone of southern Ethiopia. Certified organic and produced from distinctive, largely indigenous varieties of Arabica long grown in the region. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Named after the cofounders’ son, Ben, Ben’s Beans prides itself on ethical sourcing, as well as in donating a portion of proceeds to charities in the coffee-producing regions they work with. Visit www.bensbeans.org for more information.","A classic natural-processed Ethiopia cup: balanced, driven by fruit and floral tones, with an elegant cocoa throughline.Click here for more information about coffees from Ethiopia."
183,Ethiopia Reko,"Crisply sweet-tart. Apricot, sandalwood, maple syr","Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,$19.00/12 ounces,November 2018,53/73,8.0,8.0,8.0,9.0,8.0,,"Crisply sweet-tart. Apricot, sandalwood, maple syrup, orange zest, freesia-like flowers in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The finish is quietly flavor-saturated, with lead notes of apricot and sandalwood.","Coffees like this one from the celebrated Yirgacheffe growing region are produced largely from old, indigenous local tree varieties. A wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",A high-toned wet-processed Ethiopia cup with balanced vivacity.Click here for more information about coffees from Ethiopia.
184,Perla del Otún,"Crisply sweet, balanced. Baker’s chocolate, maple ","Chino, California","Huila, Colombia",Medium-Light,$15.00/12 ounces,November 2018,54/74,8.0,,8.0,8.0,9.0,8.0,"Crisply sweet, balanced. Baker’s chocolate, maple syrup, gardenia, cherry, cedar in aroma and cup. Sweet-tart in structure with brisk acidity; velvety mouthfeel. The finish consolidates to baker’s chocolate and gardenia with hints of cedar.","Produced entirely from trees of the Caturra variety of Arabica. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A sweet-toned, engaging Colombia cup with crisp baker’s chocolate as a throughline."
185,Decaf Classic Espresso,"Evaluated as espresso. Richly sweet, cocoa-toned. ","Chino, California","Antioquia, Colombia",Medium,$16.95/12 ounces,November 2018,44/60,8.0,,8.0,8.0,7.0,9.0,"Evaluated as espresso. Richly sweet, cocoa-toned. Cocoa powder, date, magnolia, molasses, oak in aroma and small cup. Satiny-smooth mouthfeel; resonant, chocolaty finish with notes of magnolia and oak. In three parts milk, floral tones are amplified, and cocoa notes are integrated with roasty-sweet aromatic wood.","Decaffeinated at origin using ethyl acetate, a natural solvent derived from sugar cane. Espresso Republic, founded in 2010, specializes in sourcing quality coffees and roasting them in small batches for both retail and wholesale customers. Visit www.espressorepublic.com for more information.","A solid, straightfoward decaf espresso from Colombia, especially chocolaty in cappuccino-scaled milk."
186,Nano Challa,"Delicate, sweetly tart. Lemon drop, roasted cacao ","San Diego, California","Jimma Zone, Oromia State, Ethiopia",Medium-Light,#23.00/12 ounces,November 2018,54/78,9.0,8.0,9.0,9.0,8.0,,"Delicate, sweetly tart. Lemon drop, roasted cacao nib, pink peppercorn, almond, orange zest in aroma and cup. Sweet-tart structure with bright, juicy acidity; satiny-smooth mouthfeel. The resonant finish consolidates to notes of lemon drop and cocoa, with a hint of pink peppercorn.","Produced by the Nano Challa cooperative in Ethiopia’s Jimma Zone. Southern and western Ethiopia coffees like this one are produced largely from local, indigenous varieties of Arabica. When processed by the wet or washed method (fruit skin and pulp are removed before drying) they typically express great aromatic complexity and intensity, with a particular emphasis on citrus, cocoa and floral notes. Bird Rock Coffee Roasters is a retailer and wholesaler focused on organic and socially responsible coffees; it was awarded the “2012 Micro-Roaster of the Year” title by Roast Magazine. Visit www.birdrockcoffee.com or call 858-551-1707 for more information.","A spirited, high-toned Ethiopia cup with vivacious floral spice notes throughout.Click here for more information about coffees from Ethiopia."
187,Kona Mocca®,"Enchantingly rich, intensely floral, unique. Dried","Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium,$44.95/8 ounces,November 2018,46/64,9.0,9.0,9.0,10.0,9.0,,"Enchantingly rich, intensely floral, unique. Dried black cherry, tea rose, Cognac, chocolate fudge, gently scorched almond wood in aroma and cup. Deeply sweet-savory in structure with crisp, apple-toned acidity; plump, syrupy mouthfeel. Exceptionally long finish that carries over all the aroma and flavor notes from the cup, plus an umami intrigue akin to candied bacon.","This exceptional coffee was selected as the No. 1 coffee on Coffee Review’s list of the Top 30 Coffees of 2018. Mocca (also spelled Moka and Mokka) is a famous variety of Arabica that reached Kaanapali, Hawaii from Brazil. Current thinking in the technical coffee community is that it originated in the Reunion Islands as a mutant of the great Bourbon variety. It may well have originated in Yemen, however, where varieties displaying the identical, very unusual bean size and shape are known as Ismaili, as well as by other local names. This Mocca was processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. This rare coffee with its tiny beans and striking cup is available only on the Hula Daddy website through their allocation list. Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500 foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. This coffee was produced at the higher elevation Hula Daddy farm. Visit www.huladaddy.com or call 888-553-2339 for more information.","A marvel of a coffee, inviting and esoteric, chimerical and grounded, all at once.Click here for more information about coffees from Hawaii."
188,Ethiopia Gugi,"Fruit-toned, richly chocolaty. Dark chocolate, dri","Tulsa, Oklahoma","Guji Zone, southern Ethiopia",Medium-Light,$15.99/12 ounces,December 2018,56/77,9.0,8.0,9.0,9.0,8.0,,"Fruit-toned, richly chocolaty. Dark chocolate, dried blueberry, freesia-like flowers, honey, cedar in aroma and cup. Sweet-tart structure with round, gentle acidity; full, syrupy mouthfeel. The finish consolidates to blueberry and chocolate notes, with a hint of cedar.","Southern Ethiopia coffees like this one are largely produced from indigenous Ethiopian varieties of Arabica long grown in the region. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or ""washed"" coffees. Topéca Coffee is an artisan roaster with three café locations and a roastery in Tulsa, Oklahoma.Visit www.topecacoffee.com or call 918-398-8022 for more information.","A cleanly crisp yet plushly fruit-toned, natural-processed Ethiopia cup.Click here for more information about coffees from Ethiopia."
189,Kenya Murunga New Gatanga FCS Mukurwe Factory AB,"Richly spiced-toned, deeply sweet. Dried apricot, ","Yilan, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,$16.00/8 ounces,December 2018,54/76,9.0,9.0,9.0,9.0,8.0,,"Richly spiced-toned, deeply sweet. Dried apricot, molasses, pink peppercorn, dark chocolate, jasmine in aroma and cup. Sweet-savory structure with engaging, bright acidity; plush, syrupy mouthfeel. The short finish leads with dried apricot and dark chocolate, followed in the long by jasmine and pink peppercorn.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya and its dedicated cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.",An opulent Kenya carried by spice notes (both floral and peppery) that balance the coffee’s deep sweetness.Click here for more information about coffees from Kenya.
190,Ethiopia WORKA,"Delicately floral and fruit-toned. Honeysuckle, ho","Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,$17.99/12 ounces,December 2018,60/80,9.0,9.0,9.0,9.0,8.0,,"Delicately floral and fruit-toned. Honeysuckle, honeydew melon, lemon verbena, roasted cacao nib, frankincense in aroma and cup. Sweet-tart structure with playful, bright acidity; full, satiny mouthfeel. The richly sweet finish consolidates to cocoa-toned honeysuckle and melon.","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from indigenous varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, meaning the beans were dried inside the fruit, encouraging a flavor profile that is rounder and lower-toned than the more familiar wet-processed floral- and citrus-toned Yirgacheffe profile. This coffee is certified Fair Trade, meaning it was purchased at a “fair” or economically sustainable price. Worka is one of twenty-two primary cooperatives located in the Gedeo Zone of Southern Ethiopia together organized as the Yirgacheffe Farmers Union. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A balanced, richly floral natural-processed Ethiopia cup redolent with crisply sweet fruit tones throughout.Click here for more information about coffees from Ethiopia."
191,Guatemala Hunapu,"Deeply sweet, rich-toned. Apricot, baker’s chocola","Sacramento, California","Antigua growing region, Guatemala",Medium-Light,$17.50/12 ounces,December 2018,56/70,9.0,8.0,9.0,9.0,8.0,,"Deeply sweet, rich-toned. Apricot, baker’s chocolate, honeysuckle, oak, agave syrup in aroma and cup. Sweet in structure with brisk acidity; full, syrupy mouthfeel. The finish consolidates to apricot and baker’s chocolate, with hints of honeysuckle.","Produced by Luis Pedro Zelaya entirely from trees of the admired Bourbon variety of Arabica. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.","An impressive sweetness is complicated by a brisk edge in this big-bodied, apricot- and cocoa-toned Guatemala."
192,Ethiopia Banko Dhadhato Washed,"Delicately opulent. Honey, lemon blossom, cocoa, f","Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Light,$17.99/12 ounces,December 2018,62/82,9.0,9.0,9.0,9.0,8.0,,"Delicately opulent. Honey, lemon blossom, cocoa, fresh pipe tobacco, a hint of roasted nut in aroma and cup. Very sweet, gently crisp in structure; buoyant, almost levitating in mouthfeel. Quietly resonant, cocoa-toned in the finish.","Produced by members of the Banko Dhadhato Cooperative in the celebrated Yirgacheffe growing region of southern Ethiopia from traditional Ethiopian varieties of Arabica long grown in the area. This coffee is organic and Fair Trade certified, the latter meaning it was purchased from farmers at a “fair” or economically sustainable price. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious coffee and high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.","A classic version of the Yirgacheffe cup, all seductive flowers, soft citrus, and cocoa.Click here for more information about coffees from Ethiopia."
193,Kenya Rugeto Peaberry,"Richly sweet, spice-toned. Roasted cacao nib, tama","Sacramento, California","Kirinyaga District, south-central Kenya",Medium,$20.00/12 ounces,December 2018,47/64,9.0,9.0,8.0,9.0,8.0,,"Richly sweet, spice-toned. Roasted cacao nib, tamarind, tangerine zest, freesia-like flowers, almond in aroma and cup. Sweet-tart structure with juicy acidity; crisp, satiny mouthfeel. Resonant finish centers on notes of cocoa-toned tamarind and freesia.","Produced by the Rungeto Farmer's Co-operative Society from trees of the admired SL28 and SL34 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya and its dedicated cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",A balanced and engaging Kenya: high-toned with spicy floral and delicate cocoa notes.Click here for more information about coffees from Kenya.
194,Gayo Aceh Sumatra,"Richly sweet, spicy, tobacco-toned. Pipe tobacco, ","Madison, Wisconsin","Aceh growing region, Aceh Province, northern Sumatra, Indonesia",Medium-Light,$16.00/12 ounces,December 2018,56/76,9.0,8.0,8.0,9.0,8.0,,"Richly sweet, spicy, tobacco-toned. Pipe tobacco, almond brittle, ginger blossom, mango, roasted cacao nib in aroma and cup. Sweet-savory structure with gentle, rounded acidity; crisp, satiny mouthfeel. The finish resonates with vanilla-toned pipe tobacco and ginger blossom.",JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.,Expressive and resonant: Spice-toned florals and sweetly savory pipe tobacco offer rich throughlines.
195,Kenya Nyeri Nudurutu Factory AB,"Bright, richly sweet-savory. Red currant, hop flow","Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,NT $300/8 ounces,December 2018,57/79,9.0,9.0,9.0,9.0,8.0,,"Bright, richly sweet-savory. Red currant, hop flowers, fresh-cut cedar, roasted cacao nib, almond brittle in aroma and cup. Richly bittersweet structure with resonant, high-toned acidity; viscous, satiny mouthfeel. The lingering finish leads with red currant and almond brittle in the short, settling to cacao nib and hop flowers in the long.","Despite grower discontent and urban encroachment on prime coffee lands, Kenya and its dedicated cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A harmonious Kenya that gracefully integrates sweet and savory, bright and bitter, in vibrant balance.Click here for more information about coffees from Kenya."
196,Ethiopia Kochere Washed Saona Lot,"High-toned, richly sweet-tart. Apricot, wild honey","Chia-Yi, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,NT $290/8 ounces,December 2018,57/79,9.0,9.0,9.0,9.0,9.0,,"High-toned, richly sweet-tart. Apricot, wild honey, sandalwood, roasted cacao nib, lilac in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish is resonant with all the aroma and flavor notes of the cup, leading with apricot and lilac in the short and cocoa-toned sandalwood in the long, all sustained by a deep, honeyish sweetness. ","Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like this one processed by the wet or washed method (fruit skin and pulp are removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Almost all Yirgacheffe coffees are produced by villagers on small, garden plots interplanted with food and other subsistence crops. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","Dynamic, engaging, classic washed Ethiopia cup, propelled by sweet floral and juicy stone-fruit notes.Click here for more information about coffees from Ethiopia."
197,Ethiopia Guji Natural Dasaya,"Elegantly fruit-toned, chocolaty. Dark chocolate, ","Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,NT $300/8 ounces,December 2018,57/79,9.0,9.0,9.0,9.0,8.0,,"Elegantly fruit-toned, chocolaty. Dark chocolate, dried fig, oak, narcissus-like flowers, molasses in aroma and cup. Crisply sweet structure with balanced, vibrant acidity; full, syrupy mouthfeel. The finish consolidates to notes of dried fig and molasses supported by a rich dark chocolate.","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.","A cleanly and seductively fruit-forward, richly chocolate-toned natural-processed Ethiopia cup.Click here for more information about coffees from Ethiopia."
198,Auromar Geisha Natural,"Cleanly fruit-toned, delicately rich. Rum cordial,","Branford, Connecticut","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,$55.00/12 ounces,December 2018,53/75,9.0,8.0,9.0,9.0,8.0,,"Cleanly fruit-toned, delicately rich. Rum cordial, orange zest, coconut, plum, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; plump, satiny-smooth mouthfeel. The inviting finish leads with coconut and plum in the short, with notes of cedar and rum cordial returning in the long.","This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report. Produced from trees of the rare Ethiopia-derived botanical variety Geisha (also spelled Gesha) by farmer Roberto Brenes of Auromar Estate. With its generally elongated beans and distinctive floral and crisp, often chocolaty cup, the Geisha/Gesha variety continues to distinguish itself as one of the world’s most unique coffees. This is a dry-processed or “natural” version, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Willoughby’s Coffee & Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.","A stone fruit-driven natural-processed Geisha cup with an engaging, cleanly cordial-like fruit ferment suggestion throughout."
199,Holiday Blend,"Delicate, sweetly savory. Red currant, honeysuckle","Olympia, Washington","Yirgacheffe growing region, Ethiopia",Medium-Light,$19.50/12 ounces,December 2018,56/80,9.0,8.0,9.0,9.0,8.0,,"Delicate, sweetly savory. Red currant, honeysuckle, roasted cacao nib, agave syrup, eucalyptus in aroma and cup. Lively acidity lifts the sweet-savory structure; full, syrupy mouthfeel. The richly drying finish consolidates to notes of red currant, eucalyptus and cacao nib.","This coffee tied for the fourth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report. A blend comprised of two Ethiopia coffees from independent farmers (as opposed to members of cooperatives) in the celebrated Yirgacheffe region: Adisu Kidane's natural-processed coffee, and Desta Gola's washed-process coffee. Olympia Coffee Roasting is a small-batch wholesale and retail roasting company with a youthful, no-nonsense style and a commitment to high-quality organic coffees. Visit www.olympiacoffee.com or call 360-753-0066 for more information.","A richly aromatic blend of two Ethiopia coffees, one washed- and one natural-processed, that deliver a complex package of bright and savory: flowers, pungent fruit, herb."
200,El Salvador Pacamara,"Fruit-forward, crisply sweet. Peach, grapefruit ze","Portland, Maine","Chalatenango, El Salvador",Medium-Light,$25.00/12 ounces,December 2018,55/75,9.0,8.0,8.0,9.0,8.0,,"Fruit-forward, crisply sweet. Peach, grapefruit zest, hazelnut, molasses, oak in aroma and cup. Savory-sweet structure with round, gentle acidity; full, satiny mouthfeel. The resonant finish centers around notes of peach, grapefruit zest and oak.","This coffee tied for the fifth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report. Produced by Rodolfo Huezo Pineda entirely of the Pacamara variety of Arabica. The Pacamara is a big-beaned hybrid of the Bourbon-related Pacas and the huge-beaned Maragogipe, a mutant of the ancient Typica variety. This is a wet-processed or “washed” coffee, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. Speckled Ax is a roaster based in Portland, Maine, specializing in high-quality certified organic and small-lot coffees. The company roasts in a vintage wood-fired Petroncini roaster with the goal of highlighting each coffee’s best attributes. Visit www.speckledax.com for more information.","A washed-process Pacamara cup that leads with bright stone fruit notes, balanced by bittersweet citrus zest and aromatic wood."
201,Guji Oraga Tabe,"Rich-toned, crisply sweet. Narcissus, plum, cedar,","Nashville, Tennessee","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,$23.00/12 ounces,December 2018,52/76,9.0,8.0,8.0,9.0,8.0,,"Rich-toned, crisply sweet. Narcissus, plum, cedar, cashew butter, honey in aroma and cup. Sweet-tart structure with soft acidity; satiny-smooth mouthfeel. The finish resonates with plum and narcissus notes in the short, consolidating to cashew and cedar in the long.","This coffee tied for the fifth-highest rating in a tasting of holiday coffees for Coffee Review‘s December 2018 tasting report. Southern Ethiopia coffees are largely produced from distinctive indigenous varieties of Arabica long grown in the region, and when processed like this one by the wet or washed method (fruit skin and pulp is removed before drying), they typically express great aromatic complexity and intensity with a particular emphasis on floral notes. Visit www.steadfast.coffee for more information.","A fine Ethiopia wet-processed cup: balanced and engaging, with stone fruit and sweet florals as throughlines.Click here for more information about coffees from Ethiopia."
