,est_price,blind_assessment,after_slash,before_slash,before_DOL,rem_D,Euro
839,$39.95/12 ounces,"Fruit-centered, sweetly herb-toned. Cherry, lemon-thyme, tiger lily, wild honey, fresh-cut oak in aroma and cup. Sweetly savory with brisk acidity; full, syrupy-smooth mouthfeel. The crisply sweet finish consolidates around notes of honey and oak.",12 ounces,$39.95,,39.95,37.553
840,$20.50/12 ounces,"Gently fruit-toned, richly bittersweet. Raspberry, hop flowers, baking chocolate, honey, lemon verbena in aroma and cup. Sweet-savory structure with balanced acidity; viscous, satiny mouthfeel. The quietly intricate finish centers around raspberry and chocolate suggestions.",12 ounces,$20.50,,20.5,19.27
841,$20.50/12 ounces,"Floral-toned, deeply sweet. Tea rose, nectarine, sandalwood, cocoa nib, agave syrup in aroma and cup. Sweetly tart in structure with juicy, vibrant acidity and lightly satiny mouthfeel. Finish leads with notes of cocoa nib and tea rose, supported by hints of nectarine.",12 ounces,$20.50,,20.5,19.27
842,$22.50/12 ounces,"Evaluated as espresso. Rich-toned, deeply chocolaty. Dark chocolate, raspberry, molasses, hazelnut, fresh-cut oak in aroma and small cup. Very syrupy mouthfeel; chocolaty, nut-toned finish. In three parts milk, a pretty floral note suggesting gardenia surfaces alongside raspberry and chocolate.",12 ounces,$22.50,,22.5,21.15
843,$19.50/12 ounces,"Deeply sweet, richly savory. Black cherry, freesia-like flowers, almond, dark chocolate, fresh-cut cedar in aroma and cup. Sweet-savory structure with gentle, round acidity; plush, creamy mouthfeel. The resonant finish consolidates around notes of black cherry and dark chocolate with cedar undertones. ",12 ounces,$19.50,,19.5,18.33
844,$19.00/12 ounces,"Evaluated as espresso. Crisply sweet, balanced, deep-toned. Pomegranate, dark chocolate, molasses, sandalwood, lilac in aroma and small cup. Viscous, full mouthfeel; tart, chocolaty finish. In cappuccino-scaled milk, chocolaty and richly floral-toned.",12 ounces,$19.00,,19.0,17.86
845,$54.95/12 ounces,"High-toned, floral-driven, lyrically sweet. Wisteria, Keemun tea, white nectarine, fresh-cut basil, pink peppercorn in aroma and cup. Impeccably crystalline, balanced structure with buoyant acidity; delicately satiny mouthfeel. Very long, integrated, satisfying finish, with fruit and floral notes singing into the long.",12 ounces,$54.95,,54.95,51.653
846,$18.99/12 ounces,"Sweetly savory, deep-toned. Pipe tobacco, sandalwood, rhododendron, tangerine zest, date in aroma and cup. Savory-leaning structure with richly bittersweet acidity; very full, viscous mouthfeel. The crisp, sweet finish centers around notes of earthy pipe tobacco and date.",12 ounces,$18.99,,18.99,17.850599999999996
847,$30.00/8 ounces,"Complex, sweetly and intricately herbaceous, citrusy. Lemon verbena, cardamom, cocoa nib, ginger, aromatic orchid in aroma and cup. Sweetly savory with delicately juicy acidity; crisp, silky mouthfeel. Long, resonant, flavor-saturated finish.",8 ounces,$30.00,,30.0,28.2
848,NT $260/227 grams,"Deep-toned, chocolaty. Baking chocolate, date, hazelnut, fresh-cut cedar, brown sugar in aroma and cup. Sweet-toned structure with gentle, round acidity; full, satiny mouthfeel. Crisp, chocolaty finish with undertones of hazelnut and date.",227 grams,NT $260,NT ,260.0,
849,NT $400/230 grams,"Evaluated as espresso. Crisply sweet-tart, fruit-toned. Dried raspberry, baking chocolate, Brazil nut, fir, molasses in aroma and small cup. Velvety-smooth mouthfeel; crisp, chocolaty finish. In three parts milk, chocolate and dried fruit notes come forward; nut and aromatic wood suggestions recede.",230 grams,NT $400,NT ,400.0,
850,NT $250/200 grams,"High-toned, spice-driven, deeply sweet. Almond nougat, freesia-like flowers, dried apricot, cedar, thyme in aroma and cup. Balanced, sweet-savory structure with gentle acidity; plush, satiny-smooth mouthfeel. The finish leads with notes of almond nougat and undertones of rich aromatic wood.",200 grams,NT $250,NT ,250.0,
851,NT $320/8 ounces,"Richly sweet, deep-toned, bright and juicy. Pomegranate, dark chocolate, marshmallow, hazelnut butter, key lime in aroma and cup. Sweet structure with high-toned, balanced acidity; full, syrupy-smooth mouthfeel. The cleanly fruit-toned finish is supported by notes of hazelnut and key lime.",8 ounces,NT $320,NT ,320.0,
852,$22.00/12 ounces,"Very fruit-centric, spicily floral. Watermelon candy, star jasmine, agave syrup, pistachio butter, pink peppercorn in aroma and cup. Brightly sweet-tart with energetic acidity; very full, viscous mouthfeel. Resonant, fruit-focused finish with pistachio undertones.",12 ounces,$22.00,,22.0,20.68
853,$14.00/12 ounces,"Friendly, balanced, bittersweet. Cocoa powder, hop flowers, raisin, lily, fresh-cut fir in aroma and cup. Savory-sweet structure with bittersweet acidity; full, syrupy mouthfeel. The gently drying finish centers around notes of cocoa powder and fir.",12 ounces,$14.00,,14.0,13.16
854,NT $755/113 grams,"Delicate, richly sweet, floral-toned. Star jasmine, raspberry, cocoa nib, maple syrup, sandalwood in aroma and cup. Bright, sweet-tart structure with juicy acidity; plush, satiny mouthfeel. The long finish centers around deep floral and bright berry tones, grounded by cocoa nib.",113 grams,NT $755,NT ,755.0,
855,$17.95/12 ounces,"Fruit-forward, deeply sweet. Blueberry, dark chocolate, magnolia, cedar, almond in aroma and cup. Sweet structure with gentle acidity; crisp, velvety mouthfeel. Chocolaty finish with blueberry and almond undertones.",12 ounces,$17.95,,17.95,16.872999999999998
856,NT $250/227 grams,"Evaluated as espresso. Richly aromatic, chocolaty, earth-toned. Dark chocolate, shiitake mushroom, pomegranate syrup, cedar, marjoram in aroma and small cup. Velvety-smooth mouthfeel; crisp, chocolaty-tart finish. In three parts milk, tart fruit and sweet chocolate harmonize, supported by savory undertones of mushroom and sweet herbs.",227 grams,NT $250,NT ,250.0,
857,$17.95/12 ounces,"Chocolaty, sweetly savory. Baking chocolate, lemon verbena, pomegranate, fresh-cut oak, maple syrup in aroma and cup. Sweet-toned structure with round acidity; full, satiny mouthfeel. Quiet finish leads with notes of baking chocolate and maple syrup, supported by undertones of fresh-cut oak.",12 ounces,$17.95,,17.95,16.872999999999998
858,$24.00/12 ounces,"Sweetly tart, richly savory. Star jasmine, pink grapefruit zest, ripe blackberry, cocoa nib, toffee in aroma and cup. Brightly tart-savory, complex structure with juicy acidity; plush, very syrupy mouthfeel. Star jasmine and blackberry notes lead in the long, resonant finish.",12 ounces,$24.00,,24.0,22.56
859,$20.00/12 ounces,"Deeply sweet, chocolaty and nut-toned. Baking chocolate, almond brittle, gardenia, date, gently scorched oak in aroma and cup. Sweet-toned structure with gentle, round acidity; smooth, velvety mouthfeel. Chocolaty, nut-driven finish with undertones of gardenia and date.",12 ounces,$20.00,,20.0,18.799999999999997
860,$18.95/12 ounces,"Evaluated as espresso. Citrusy, sweetly nut-toned. Tangerine, hazelnut, cocoa nib, Italian parsley, freesia-like flowers in aroma and small cup. Buoyant, creamy mouthfeel; in the finish rich and cocoa-driven with deep hazelnut notes carrying far into the sweet long. Quiets and simplifies in three parts milk, turning delicately nut-toned. ",12 ounces,$18.95,,18.95,17.813
861,$24.95/4 ounces,"Richly sweet, deeply savory. Dried persimmon, baking chocolate, hop flowers, myrrh, tarragon in aroma and cup. Savory-sweet structure with gentle, round acidity; very smooth, satiny mouthfeel. The rich, resonant, exceptionally long finish centers around notes of persimmon and chocolate supported by myrrh and tarragon.",4 ounces,$24.95,,24.95,23.453
862,$24.00/12 ounces,"Rich-toned, enigmatic, complex. Red currant, star jasmine, pomegranate, dark chocolate, cedar in aroma and cup. Sweet-tart structure with juicy, high-toned acidity; full, syrupy-smooth mouthfeel. The flavor-saturated finish consolidates to notes of red currant and dark chocolate with hints of cedar.",12 ounces,$24.00,,24.0,22.56
863,$45.00/175 grams,"Fruit-centered, chocolaty, balanced. Lychee, cocoa nib, lavender, nutmeg, sandalwood in aroma and cup. Sweetly savory with juicy acidity; round, viscous mouthfeel. Long, lingering, flavor-saturated finish with pretty notes of lychee and cocoa nib supported by lavender.",175 grams,$45.00,,45.0,42.3
864,$24.95/12 ounces,"Vibrant, high-toned, delicately fruity. Strawberry guava, pink grapefruit zest, lemon balm, spearmint, cocoa nib in aroma and cup. Balanced, sweetly tart with gently juicy acidity; silky, elegant mouthfeel. Cocoa-driven finish with undertones of citrus and sweet herbs.",12 ounces,$24.95,,24.95,23.453
865,$21.00/113 grams,"Floral-toned, sweetly fermenty. Ginger blossom, baking chocolate, black cherry, lemon zest, wine barrel in aroma and cup. Sweet-savory structure with brisk acidity; silky, lightly viscous mouthfeel. The spice-toned, floral finish is supported by notes of wine barrel. ",113 grams,$21.00,,21.0,19.74
866,$21.00/113 grams,"Delicately sweet-tart, fruit-driven. Lychee, raspberry, cocoa nib, honeysuckle, cedar in aroma and cup. Sweet-tart structure with bright, juicy acidity; crisp, satiny mouthfeel. Finish consolidates to notes of honeysuckle and cocoa nib.",113 grams,$21.00,,21.0,19.74
867,HKD $138/100 grams,"Crisply sweet, delicately aromatic. Hazelnut, date, tiger lily, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; velvety-smooth mouthfeel. The wood-framed finish is sweetly nut-toned into the long.",100 grams,HKD $138,HKD ,138.0,
868,HKD $300/100 grams,"Richly sweet, elegantly tart. Wisteria, pomegranate, fresh-cut fir, marjoram, orange zest in aroma and cup. Sweet structure with balanced acidity; lively, silky mouthfeel. The finish consolidates to suggestions of fir, marjoram and orange zest.",100 grams,HKD $300,HKD ,300.0,
869,$30.00/6 ounces,"Multi-layered, rich, intricately sweet. Lemon balm, apricot, cardamom, cocoa nib, freesia-like flowers in aroma and cup. Sweetly tart with vibrant, juicy acidity; rich, syrupy mouthfeel. The finish leads with notes of lemon and cardamom, rounding to cocoa nib in the long.",6 ounces,$30.00,,30.0,28.2
870,NT $650/227 grams,"Cleanly fruit-forward, chocolaty. Dark chocolate, dried persimmon, halvah, cedar, honey in aroma and cup. Gently bittersweet structure with brisk acidity; very full, syrupy-smooth mouthfeel. Fruit- and chocolate-toned finish, crisp and long.",227 grams,NT $650,NT ,650.0,
871,$25.00/8 ounces,"Briskly sweet-savory. Pie cherry, lavender, cocoa nib, cashew butter, apple blossom in aroma and cup. Richly bittersweet structure lifted by juicy acidity; smooth, satiny mouthfeel. The crisp finish consolidates to cocoa nib and cashew.",8 ounces,$25.00,,25.0,23.5
872,$15.00/12 ounces,"Richly sweet, deep-toned. Honeysuckle, date, hazelnut, agave syrup, cedar in aroma and cup. Crisply sweet structure with soft acidity; crisply satiny mouthfeel. The floral-toned finish leads with notes of honeysuckle and hazelnut rounding to sweet date and cedar in the long.",12 ounces,$15.00,,15.0,14.1
873,$12.00/8 ounces,"Vibrantly sweet, subtly complex. Apricot, baking chocolate, hazelnut, hyacinth, cane sugar in aroma and cup. Sweetly tart structure with pert acidity; smooth, syrupy mouthfeel. Cocoa-toned finish supported by notes of stone fruit and hazelnut.",8 ounces,$12.00,,12.0,11.28
874,$19.00/12 ounces,"Deeply sweet-savory, chocolate-toned. Dark chocolate, pear, praline, magnolia, a hint of thyme in aroma and cup. Sweet-savory structure with gentle, round acidity; plush, syrupy mouthfeel. The gently drying finish is very chocolaty with undertones of praline and magnolia.",12 ounces,$19.00,,19.0,17.86
875,NT $260/8 ounces,"Cocoa-and spice-toned. Cocoa powder, black cherry, fresh-cut oak, pistachio, baking spices in aroma and cup. Sweet structure with balanced acidity; full, syrupy mouthfeel. The finish is nutty and cocoa-driven, supported by notes of black cherry and oak.",8 ounces,NT $260,NT ,260.0,
876,NT $1200/225 grams,"Intensely fruit-centered, bright. Passion fruit, cocoa nib, ginger blossom, oak, lime zest in aroma and cup. Tart-leaning structure with citrusy acidity; crisp, velvety mouthfeel. Quietly fruit-driven finish.",225 grams,NT $1200,NT ,1200.0,
877,$19.00/6 ounces,"Nuanced, richly bittersweet. Dark chocolate, hop flowers, apricot, brown sugar, sandalwood in aroma and cup. Sweet-savory structure with crisp, round acidity; satiny-smooth mouthfeel. Chocolaty finish with undertones of apricot and sandalwood. ",6 ounces,$19.00,,19.0,17.86
878,$21.00/12 ounces,"Bright, juicy, balanced. Pink grapefruit zest, dark chocolate, candy apple, freesia-like flowers, cedar in aroma and cup. Sweet-tart structure with lively acidity; silky, viscous mouthfeel. Chocolaty, citrus-toned finish supported by notes of fresh-cut cedar.",12 ounces,$21.00,,21.0,19.74
879,NT $600/100 grams,"Complex, multi-layered, richly floral-toned. Lilac, rose hips, tangerine zest, Marcona almond, cocoa nib in aroma and cup. Balanced, high-toned structure with lyrically vibrant acidity; plush, very syrupy mouthfeel. Long, lingering, flavor-saturated finish that carries through on the promise of the cup. ",100 grams,NT $600,NT ,600.0,
880,NT $1580/250 grams,"Crisply cocoa-toned. Baking chocolate, magnolia, pie cherry, oak, cane sugar in aroma and cup. Sweet structure with brisk acidity; crisp, silky mouthfeel. Cocoa-driven finish with undertones of oak and cane sugar.",250 grams,NT $1580,NT ,1580.0,
881,NT $1780/250 grams,"Confident, balanced, bright. Lilac, cocoa nib, red plum, sandalwood, maple syrup in aroma and cup. Richly sweet structure with juicy, vibrant acidity; very full, syrupy-smooth mouthfeel. Crisp, smooth finish centered around notes of cocoa nib and sandalwood with lilac and plum undertones. ",250 grams,NT $1780,NT ,1780.0,
882,$14.95/12 ounces,"Sweetly nut-toned. Hazelnut, red apple, baking chocolate, magnolia, molasses in aroma and cup. Sweet structure with gentle, round acidity; crisp, lightly satiny mouthfeel. Nut-toned finish with crisp chocolate undertones.",12 ounces,$14.95,,14.95,14.052999999999999
883,$10.99/10.5 ounces,"Crisply cocoa-toned. Baking chocolate, almond nougat, carnation, golden raisin, cedar in aroma and cup. Sweet-toned with brisk acidity; silky-smooth mouthfeel. Nut-toned finish with hints of baking chocolate and golden raisin.",10.5 ounces,$10.99,,10.99,10.3306
884,$10.99/10.5 ounces,"Richly chocolaty, floral-toned. Dark chocolate, magnolia, almond, caramel, cedar in aroma and cup. Sweet structure with mild acidity; delicate, velvety mouthfeel. A simple finish consolidates to notes of cedar and almond.",10.5 ounces,$10.99,,10.99,10.3306
885,NT $250/227 grams,"Evaluated as espresso. Deep-toned, chocolaty, fruit-forward. Chocolate fudge, ripe blueberry, fir, molasses, gardenia in aroma and small cup. Crisp, velvety mouthfeel; chocolaty finish supported by notes of fresh-cut fir. In three parts milk richly fruit-centered with blueberry and chocolate fudge notes front and center.",227 grams,NT $250,NT ,250.0,
886,$15.95/12 ounces,"Sweet-toned, gently floral. Baking chocolate, honeysuckle, almond, fresh-cut fir, brown sugar in aroma and cup. Sweet structure with brisk acidity; full, velvety mouthfeel. Gently drying, wood-framed finish with undertones of baking chocolate and almond.",12 ounces,$15.95,,15.95,14.992999999999999
887,NT $260/200 grams,"Richly sweet-tart. Black currant, almond, cocoa nib, freesia, maple syrup, cedar in aroma and cup. Brightly sweet structure with juicy acidity; crisp, satiny mouthfeel. Nut-toned finish with cedar undertones.",200 grams,NT $260,NT ,260.0,
888,NT $260/200 grams,"Crisply sweet-savory. Date, hop flowers, tamarind, oak, cane sugar in aroma and cup. Richly bittersweet structure with lively acidity; velvety-smooth mouthfeel. Sweetly tart finish leads with tamarind notes, supported by sweet aromatic wood.",200 grams,NT $260,NT ,260.0,
889,$16.00/12 ounces,"Crisply sweet-tart. Almond butter, yellow plum, milk chocolate, clover flowers, a hint of thyme in aroma and cup. Sweet-toned structure with mild acidity; satiny, delicate mouthfeel. The sweetly nut-toned finish is supported by notes of chocolate and thyme.",12 ounces,$16.00,,16.0,15.04
890,$17.00/12 ounces,"Richly sweet-savory, citrus-toned. Tangerine zest, maple syrup, pistachio, rhododendron, baking chocolate in aroma and cup. Balanced structure with gentle, round acidity; full, lightly syrupy mouthfeel. The quiet finish is carried by notes of baking chocolate and pistachio.",12 ounces,$17.00,,17.0,15.979999999999999
891,$23.50/12 ounces,"Rich-toned, deeply sweet. Dried apricot, molasses, almond brittle, freesia-like flowers, cedar in aroma and cup. Sweet structure with gently brisk acidity; very full, syrupy-smooth mouthfeel. Sweetly nut-toned, long finish with notes of almond brittle and molasses.",12 ounces,$23.50,,23.5,22.09
892,$25.00/12 ounces,"Vibrantly sweet-savory. Red currant, toffee, hop flowers, marjoram, lemon verbena in aroma and cup. Richly bittersweet, balanced structure with lively acidity; plush, syrupy-smooth mouthfeel. Gentle finish with notes of red currant and marjoram.",12 ounces,$25.00,,25.0,23.5
893,$15.95/12 ounces,"Richly cocoa-toned. Cocoa nib, cashew butter, lily, lemon verbena, date in aroma and cup. Sweet-toned with mild acidity; plush, syrupy mouthfeel. Cocoa- and nut-driven finish.",12 ounces,$15.95,,15.95,14.992999999999999
894,$16.00/12 ounces,"Bright, richly floral-toned. Wisteria, cocoa nib, tangerine zest, almond nougat, sandalwood in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. The satisfying finish leads with notes of wisteria and tangerine, rounding to almond nougat and sandalwood in the long.",12 ounces,$16.00,,16.0,15.04
895,$20.50/12 ounces,"Complex, cleanly fruit-forward. Raspberry coulis, cocoa nib, hazelnut butter, lilac, sandalwood in aroma and cup. Bright, sweetly tart structure with juicy acidity; delicate, silky-smooth mouthfeel. The resonant finish consolidates to notes of raspberry and hazelnut with sandalwood undertones. ",12 ounces,$20.50,,20.5,19.27
896,$23.50/12 ounces,"Deeply sweet-savory, intricate, inviting. Black currant, cocoa nib, lemon verbena, fresh-cut oak, Nutella in aroma and cup. Balanced, sweetly tart structure with juicy-bright acidity; plush, satiny mouthfeel. The finish consolidates to lasting black currant and Nutella notes.",12 ounces,$23.50,,23.5,22.09
897,$80.00/12 ounces,"Rich, resonant, lyrically juicy. Dark chocolate, dried white peach, lilac, myrrh, ginseng in aroma and cup. Balanced, high-toned structure with juicy-bright acidity; plush, syrupy-smooth mouthfeel. Long, lingering, integrated finish fulfills the promise of the cup.",12 ounces,$80.00,,80.0,75.19999999999999
898,$24.00/12 ounces,"Deeply sweet, citrus-toned. Magnolia, tangerine zest, caramel, baking chocolate, lemon-thyme in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. The delicate finish centers around notes of baking chocolate and tangerine zest.",12 ounces,$24.00,,24.0,22.56
899,NT $280/10 capsules,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Crisply chocolaty, sweet-toned. Baking chocolate, orange zest, almond, rhododendron, fresh-cut oak in aroma and small cup. Satiny-smooth mouthfeel; gently drying, cocoa-toned finish. In three parts, milk, crisply sweet and chocolaty with pleasing rhododendron notes.",10 capsules,NT $280,NT ,280.0,
900,$22.00/12 ounces,"Subtly complex, delicately sweet. Red plum, hazelnut, agave syrup, honeysuckle, fresh-cut oak in aroma and cup. Balanced structure with pert acidity; full, syrupy mouthfeel. The gently fruit-toned finish is supported by hazelnut and oak notes.",12 ounces,$22.00,,22.0,20.68
901,$26.00/12 ounces,"Richly aromatic, deeply and sweetly herb-toned. Cocoa nib, bergamot, lilac, maple syrup, myrrh in aroma and cup. Deeply sweet-toned in structure with vibrant, juicy acidity; syrupy-smooth mouthfeel. The long, resonant finish is flavor-saturated, floral- and fruit-toned.",12 ounces,$26.00,,26.0,24.439999999999998
902,$19.95/12 ounces,"Chocolaty, cleanly fruit-forward. Dark chocolate, blueberry, sandalwood, wisteria, lemongrass in aroma and cup. Sweet-tart structure with brisk acidity; syrupy-smooth mouthfeel. Richly chocolaty finish with undertones of wisteria and sandalwood.",12 ounces,$19.95,,19.95,18.752999999999997
903,$18.50/16 ounces,"Crisply sweet-savory. Dark chocolate, lavender, date, agave syrup, lemon zest in aroma and cup. Richly bittersweet structure with velvety-smooth mouthfeel; chocolaty finish with lavender undertones.",16 ounces,$18.50,,18.5,17.39
904,$19.95/12 ounces,"High-toned, elegant, balanced. Apricot, almond butter, bergamot, cedar, cocoa nib in aroma and cup. Delicately sweet structure with juicy-bright acidity; very syrupy, lively mouthfeel. Cocoa-toned finish supported by notes of apricot and almond.",12 ounces,$19.95,,19.95,18.752999999999997
905,$27.00/12 ounces,"Floral, spice-toned. Jasmine, pink peppercorn, honey, apricot, myrrh in aroma and cup. Sweet structure with vivacious acidity; very full, syrupy mouthfeel. The finish consolidates to notes of pink peppercorn and honey.",12 ounces,$27.00,,27.0,25.38
906,$19.00/12 ounces," Bright, richly high-toned. Lilac, frankincense, cocoa nib, pink grapefruit zest, pistachio butter in aroma and cup. Delicately sweet-tart with balanced, vibrant acidity; silky, viscous mouthfeel. Resonant, long, flavor-saturated finish.",12 ounces,$19.00,,19.0,17.86
907,$21.00/12 ounces,"Sweet-savory, multi-layered, deep-toned. Tangerine zest, dark chocolate, goji berry, almond nougat, myrrh in aroma and cup. Savory-leaning structure with citrusy acidity; very full, syrupy mouthfeel. Resounding, satisfying finish driven by chocolate and citrus.",12 ounces,$21.00,,21.0,19.74
908,$21.50/8 ounces,"Delicately sweet-tart, richly aromatic. Pomegranate, lavender, cocoa nib, lemon-thyme, cedar in aroma and cup. Sweetly tart structure with bright, graceful acidity; light but viscous, silky mouthfeel. Long, confident finish led by notes of lavender and pomegranate, rounding to citrus-toned cocoa nib in the long.",8 ounces,$21.50,,21.5,20.209999999999997
909,$24.95/4 ounces,"Sweetly fermenty, deeply rich. Aged red wine, ginger blossom, vanilla, pink grapefruit zest, baking chocolate in aroma and cup. Very sweet, high-toned structure with winy acidity; smooth, creamy mouthfeel. Spice-toned, delicate finish. ",4 ounces,$24.95,,24.95,23.453
910,$24.95/12 ounces,"Balanced, richly fruit-forward. Lychee, cocoa nib, wisteria, maple syrup, pistachio brittle in aroma and cup. Brightly sweet with delicately juicy acidity; silky-smooth mouthfeel. Finish consolidates to notes of cocoa-toned tropical fruit and pistachio.",12 ounces,$24.95,,24.95,23.453
911,$16.95/12 ounces,"Evaluated as espresso. Juicy, sweet-tart. Dried hibiscus, raspberry jam, cocoa nib, cedar, molasses in aroma and small cup. Plush, syrupy-smooth mouthfeel; richly tart finish. Chocolaty and pleasingly bittersweet in three parts milk, with tart floral and berry notes.",12 ounces,$16.95,,16.95,15.932999999999998
912,$24.95/4 ounces,"Delicately sweet-savory, elegantly herb-toned. Tarragon, lilac, nectarine, lemon balm, amber in aroma and cup. Brightly sweet with juicy, vibrant acidity; plush, satiny mouthfeel. The complex, richly nuanced finish centers around lilac and tarragon with nectarine and amber undertones. ",4 ounces,$24.95,,24.95,23.453
913,NT $300/225 grams,"Fruit-forward, multi-layered. Blueberry, musk, cocoa powder, freesia-like flowers, a hint of rum barrel in aroma and cup. Balanced structure with lively acidity; velvety-smooth mouthfeel. The resonant finish leads with dark berries in the short, while the long is characterized by spice-toned florals and a touch of sweet ferment.",225 grams,NT $300,NT ,300.0,
914,$35.00/12 ounces,"Sweetly roast-toned, floral. Gardenia, dark chocolate, raisin, gently scorched oak, cashew in aroma and cup. Sweet-toned structure with gentle, round acidity; delicate, velvety mouthfeel. Dark chocolate and gardenia lead in the finish, supported by smoky oak.",12 ounces,$35.00,,35.0,32.9
915,$35.00/12 ounces,"Richly sweet, deep-toned. Baking chocolate, hazelnut, date, magnolia, cedar in aroma and cup. Sweet in structure with brisk acidity; satiny mouthfeel. Chocolate-toned finish with undertones of hazelnut and cedar.",12 ounces,$35.00,,35.0,32.9
916,NT $450/8 ounces,"Evaluated as espresso. Chocolaty and fruit-toned. Ripe blueberry, baking chocolate, gardenia, fir, caramel in aroma and small cup. Full, syrupy mouthfeel; gently drying, wood-framed finish. In three parts milk, balanced, chocolate-toned and fruity.",8 ounces,NT $450,NT ,450.0,
917,NT $280/10 capsules,"Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Sweet-toned, chocolaty, nut-driven. Cashew, baking chocolate, hazelnut brittle, marjoram, brown sugar in aroma and small cup. Sweetly nut-toned finish with hints of baking chocolate and marjoram. In cappuccino-scaled milk, sweet herb notes subside and chocolate and cashew take center stage.",10 capsules,NT $280,NT ,280.0,
918,NT $400/8 ounces,"Berry-toned, invitingly nuanced. Raspberry, musk, cocoa powder, freesia-like flowers, a hint of rum barrel in aroma and cup. Balanced structure with brisk acidity; plush, lively mouthfeel. The finish leads with distinct raspberry notes in the short, while the long is characterized by spice-toned florals and pleasing sweet ferment.",8 ounces,NT $400,NT ,400.0,
919,$19.50/12 ounces,"Evaluated as espresso. Delicately fruit-forward, floral-toned. Raspberry jam, cocoa nib, cherry blossom, cedar, molasses in aroma and small cup. Satiny mouthfeel; sweetly tart, fruit-driven finish. In cappuccino-scaled milk, cocoa notes are amplified and tart fruit notes round to gentle sweetness.",12 ounces,$19.50,,19.5,18.33
920,$16.95/12 ounces,"Crisply sweet, richly resonant. Red apple, almond butter, cane sugar, fresh-cut oak, lily in aroma and cup. Sweet structure with pert acidity; full, syrupy mouthfeel. The finish centers around almond, oak and crisp apple.",12 ounces,$16.95,,16.95,15.932999999999998
921,$18.95/12 ounces,"Deeply pungent, richly sweet-savory. Dark chocolate, cranberry sauce, orange blossom, lemon-thyme, a hint of wine barrel in aroma and cup. Brightly sweet-savory with winy acidity; very full, creamy mouthfeel. Finish consolidates to notes of dark chocolate and cranberry sauce with undertones of wine barrel.",12 ounces,$18.95,,18.95,17.813
922,$16.95/12 ounces,"Chocolaty, deep-toned. Baking chocolate, hazelnut, gardenia, molasses, cedar in aroma and cup. Sweet in structure with gentle, round acidity; plush, satiny mouthfeel. Chocolaty, richly nut-framed finish.",12 ounces,$16.95,,16.95,15.932999999999998
923,NT $760/4 ounces,"Chocolaty and richly wood-framed. Dark chocolate, fresh-cut pine, magnolia, pink peppercorn, golden raisin in aroma and cup. Sweetly tart structure with pert acidity; crisp, velvety mouthfeel. Richly drying, chocolaty finish. ",4 ounces,NT $760,NT ,760.0,
925,$32.00/6 ounces,"Elegantly fruit-toned, richly sweet. Dried black cherry, pipe tobacco, almond, vanilla, honeysuckle in aroma and cup. Sweetly tart structure with gently brisk acidity; very syrupy-smooth mouthfeel. The finish consolidates  vanilla and cherry notes supported by pipe tobacco.",6 ounces,$32.00,,32.0,30.08
926,$40.00/8 ounces,"Quietly complex, gently bright. Macadamia nut, baking chocolate, magnolia, blackberry, cedar in aroma and cup. Sweet-toned structure with gentle, round acidity; full, syrupy mouthfeel. The resonant finish centers around notes of crisp chocolate and cedar.",8 ounces,$40.00,,40.0,37.599999999999994
927,$10.00/4 ounces,"Sweetly pungent, chocolate-driven, richly earth-toned. Dark chocolate, lavender, cedar, persimmon, sarsaparilla in aroma and cup. Balanced, pleasingly bittersweet structure with bright acidity; satiny mouthfeel. The finish consolidates to notes of dark chocolate and sarsaparilla.",4 ounces,$10.00,,10.0,9.399999999999999
928,$29.99/5 ounces,"Big, nuanced, multi-faceted. Fresh black currant, bergamot, pink grapefruit, sandalwood, maple syrup in aroma and cup. Deeply sweet with bright, juicy-tart acidity; crisply satiny mouthfeel. Delicately sweet, citrusy finish with sandalwood undertones.",5 ounces,$29.99,,29.99,28.190599999999996
929,$32.00/4 ounces,"Resonantly floral and fruit-centered. Date, orange blossom, dark chocolate, agave syrup, pungent cedar in aroma and cup. Sweetly and roundly bright with deep savory-juicy acidity; plump, creamy mouthfeel. Coherent, complex, lingering finish.",4 ounces,$32.00,,32.0,30.08
930,NT $500/4 ounces,"Focused, gently bright, complex. Dried goji berry, vanilla bean, clementine, baking chocolate, fresh-cut oak, lemon verbena in aroma and cup. Balanced structure (sweet, tart, savory) with richly pungent but juicy acidity; plushly syrupy mouthfeel. Deep and multi-layered in the finish.",4 ounces,NT $500,NT ,500.0,
931,$45.00/4 ounces,"Deep yet soaring, vertically complex. Dried black currant, dark chocolate, sandalwood, ginger blossom, tangerine zest in aroma and cup. Richly sweet-savory with deep, vibrant acidity; viscous but buoyant mouthfeel. The long, lingering, multi-layered finish thoroughly honors the promise of the cup.",4 ounces,$45.00,,45.0,42.3
