,coffee_name,rating,rating_cat,est_price,aftertaste,aroma,body,flavor,agtron,blind_assessment,coffee_origin,notes,roast_level,roaster,roaster_location,url,clusters,max_match_key,Fruity,Tropical,Citrusy,Woody,Berry,Sweet,Candy,Nutty,Creamy,Herbal,Chocolaty,Floral,Texture,Character,Acidity / Spicy,Delicate,Bold,score
761,Nicaragua Yellow Pacamara Natural,94,Very Good to Outstanding,$29.95/4 ounces,8,9,9,9,62/80,"Richly sweet-tart, fruit-driven. Dried apricot, almond nougat, clove, freesia-like flowers, lemon verbena in aroma and cup. Sweet-toned structure with complex tart and savory undertones and juicy, bright acidity; nectar-like mouthfeel. The crisp, fruit-forward finish centers around notes of dried apricot and almond nougat.","Matagalpa, Nicaragua","Produced by the Mierisch family at Finca La Huella entirely of the big-beaned Yellow Pacamara variety of Arabica and processed the natural method (sun-dried in the whole fruit). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/nicaragua-yellow-pacamara-natural/,0,Floral,1,0,1,0,0,1,1,1,0,1,0,2,2,1,2,1,2,2
764,Las Flores Colombia,94,Very Good to Outstanding,$20.00/12 ounces,8,9,9,9,58/78,"Sweet, bright, elegant. Dark chocolate, hazelnut butter, freesia, nougat, cedar in aroma and cup. Richly sweet structure with crisp, high-toned acidity; very full, satiny mouthfeel. Finish consolidates to cocoa-toned nut and freesia supported by fresh-cut cedar.","San Isidro, Acevedo, Huila, Colombia","Produced by Jhoan Manuel Vergara Ayure of Finca Las Flores, entirely of the Pink Bourbon variety of Arabica, and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/las-flores-colombia/,0,Nutty,1,0,0,1,0,0,1,2,1,1,2,0,1,1,1,1,1,2
765,Pantan Musara Sumatra,94,Very Good to Outstanding,$17.90/12 ounces,8,9,9,9,56/74,"Evaluated as espresso. Spice-toned, richly sweet-savory. Baking spices, mulberry, dark caramel, marjoram, narcissus in aroma and small cup. Nectar-like mouthfeel; crisp, sweet finish. In cappuccino-scaled milk, mulberry and clove notes lead, with undertones of dark caramel and narcissus.","Aceh Province, Sumatra, Indonesia","Produced by smallholding farmers from trees of the Gayo 1, Gayo 2, Catimor and  Abyssinia varieties of Arabica and processed by the conventional washed method, rather than the wet-hulled variation more typical of Sumatra. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/pantan-musara-sumatra/,0,Berry,0,0,0,0,2,0,1,0,1,2,0,0,1,0,2,0,1,3
781,Cold Brew Coffee,92,Very Good to Outstanding,$25.00/six 12-ounce cans,8,9,8,9,0/0,"A ready-to-drink black coffee, tested cold. Apricot, baking chocolate, freesia, lemon-thyme, fresh-cut cedar. Sweetly tart structure with lively acidity; crisp, satiny mouthfeel. Aromatic cedar-like wood notes frame the gently fruit-toned, chocolaty finish. The milk shot softens the brightness and suggests a candy bar from childhood; perhaps a KitKat?",Colombia; Guatemala,"The coffee tied for the third-highest rating in a tasting of ready-to-drink black coffees for Coffee Review’s July 2021 tasting report. Brewed in Origin’s brewhouse custom built by Deutsche Beverage Technology. Produced in 600-pound batches using sterile filtered water. The brew steeps for 16-18 hours in the temperature-controlled brewhouse and is then double-filtered. Contains no additives or ingredients other than coffee and water. Infused with nitrogen when canned. The green coffee used is a blend of washed coffees from Guatemala and Ethiopia. Founded by roaster Heather Brisson-Lutz in 2018, Origin Coffee Roasters highlights the origin of each carefully selected coffee with a roast profile that highlights the specific characteristics of the green. Visit www.origincoffeemaui.com for more information.",Undetermined,Origin Coffee Roasters,"Kihei, Maui, Hawai’i",https://www.coffeereview.com/review/cold-brew-coffee-4/,2,Woody,1,0,1,2,0,1,1,0,1,1,2,0,1,2,1,1,2,2
794,Yemen Mocha Khulani,93,Very Good to Outstanding,$35.00/8 ounces,8,9,8,9,60/80,"Subtly complex, fruit-toned. Raspberry coulis, freesia, almond nougat, cedar, lemon verbena in aroma and cup. Sweet-tart structure with vibrant acidity; crisp, silky mouthfeel. Berry and cedar-toned finish.","Sana’a growing region, Yemen","Sourced from producer groups across Yemen’s Sana’a growing region by Fatuom Muslot. Produced from trees of the Yemen landrace varieties of Audaini, Dawaeri and Tuffahi and processed by the natural method (sun-dried in the whole fruit). Dragonfly Coffee, named 2019 Micro-Roaster of the Year by Roast magazine, is now based in Henderson, Nevada. Visit dragonflycoffeeroasters.com or call 303-579-2154 for more information.",Medium-Light,Dragonfly Coffee Roasters,"Henderson, Nevada",https://www.coffeereview.com/review/yemen-mocha-khulani/,2,Berry,0,0,1,1,2,1,1,1,0,1,0,1,2,1,1,1,2,2
821,Sudan Rume,93,Very Good to Outstanding,$24.99/12 ounces,8,9,9,9,54/74,"Rich-toned, deeply sweet-savory. Black cherry, almond nougat, hop flowers, cedar, marjoram in aroma and cup. Richly bittersweet structure with gentle, round acidity; very full, syrupy mouthfeel. The finish leads with bittersweet floral notes that suggest hop flowers, with undertones of stone fruit and almond nougat.",Colombia,Produced from trees of the ancient Sudan Rume variety of Arabica and processed by the washed method with a cold ferment. Lina Premium Coffee is a Bogota-based specialty coffee roaster that works with and supports Colombian farms and farmers. Visit www.linapremiumcoffee.com for more information.,Medium-Light,Lina Premium Coffee,"Bogota, Colombia",https://www.coffeereview.com/review/sudan-rume-2/,0,Acidity / Spicy,1,0,0,1,0,2,1,1,0,1,0,2,0,0,3,0,0,2
828,Red Clay Espresso Blend,92,Very Good to Outstanding,$14.99/12 ounces,9,8,8,9,47/63,"Evaluated as espresso. Richly sweet-savory, unapologetically earth-toned. Pipe tobacco, dried cherry, hazelnut, caramel, a hint of cumin in aroma and small cup. Plush, velvety mouthfeel; the finish consolidates to hazelnut and a cumin-like spice. Milk quiets the tobacco tones and elevates the dried cherry and sweet hazelnut.",Colombia; Brazil,"A blend of two coffees, a washed Colombia and a natural-processed Brazil, roasted for espresso. Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit peachcoffeeroasters.com for more information.",Medium,Peach Coffee Roasters,"Johns Creek, Georgia",https://www.coffeereview.com/review/red-clay-espresso-blend/,2,Fruity,2,0,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,2
850,Phu-Long-Kong,93,Very Good to Outstanding,NT $250/200 grams,8,9,9,9,64/80,"High-toned, spice-driven, deeply sweet. Almond nougat, freesia-like flowers, dried apricot, cedar, thyme in aroma and cup. Balanced, sweet-savory structure with gentle acidity; plush, satiny-smooth mouthfeel. The finish leads with notes of almond nougat and undertones of rich aromatic wood.","Kayanza, Northern Province, Burundi","Produced by smallholding farmers near the Businde Washing Station entirely of the Red Bourbon variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Small Eyes Café is a small, family-owned coffee shop in Yilan, Taiwan, specializing in artisanally roasted specialty coffee and homemade desserts. Visit https://www.facebook.com/Smalleyescafe for more information.",Light,Small Eyes Cafe,"Yilan, Taiwan",https://www.coffeereview.com/review/phu-long-kong/,0,Woody,1,0,0,2,0,0,1,1,0,1,0,1,1,2,2,2,1,2
878,Guatemala La Voz,94,Very Good to Outstanding,$21.00/12 ounces,8,9,9,9,58/76,"Bright, juicy, balanced. Pink grapefruit zest, dark chocolate, candy apple, freesia-like flowers, cedar in aroma and cup. Sweet-tart structure with lively acidity; silky, viscous mouthfeel. Chocolaty, citrus-toned finish supported by notes of fresh-cut cedar.","San Juan La Laguna, Lake Atitlan, Guatemala","Produced by smallholding members of La Voz que Clama en el Desierto cooperative, from the Typica, Bourbon and Caturra varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed before beans are dried). Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; it has since added specialty roasting and online sales of select fine coffees. Visit www.nostalgiacoffeeroasters.com for more information.

 ",Medium-Light,Nostalgia Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/guatemala-la-voz/,0,Citrusy,1,0,2,1,0,1,1,0,0,1,2,1,3,0,1,2,1,2
892,Tanzania Ngila Estate,93,Very Good to Outstanding,$25.00/12 ounces,8,9,9,9,60/78,"Vibrantly sweet-savory. Red currant, toffee, hop flowers, marjoram, lemon verbena in aroma and cup. Richly bittersweet, balanced structure with lively acidity; plush, syrupy-smooth mouthfeel. Gentle finish with notes of red currant and marjoram.","Ngila Estate, Ngorongoro Conservation Area, Tanzania","Produced at Ngila Estate from trees of the Bourbon and Kent varieties of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Big Shoulders Coffee is a Chicago artisan roaster that emphasizes a fresh-roasted, no-nonsense approach to fine coffee. Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information. ",Medium-Light,Big Shoulders Coffee,"Chicago, Illinois",https://www.coffeereview.com/review/tanzania-ngila-estate/,0,Acidity / Spicy,0,0,1,0,1,2,1,0,0,1,0,2,1,0,3,1,0,2
894,Ethiopia Gogogu Bekaka #4,93,Very Good to Outstanding,$16.00/12 ounces,8,9,8,9,56/78,"Bright, richly floral-toned. Wisteria, cocoa nib, tangerine zest, almond nougat, sandalwood in aroma and cup. Sweet-tart structure with bright, juicy acidity; full, satiny mouthfeel. The satisfying finish leads with notes of wisteria and tangerine, rounding to almond nougat and sandalwood in the long.","Yirgacheffe growing region, southern Ethiopia","Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in their respective regions. Processed by the wet or washed method (fruit skin and pulp are removed before beans are dried). Jackrabbit Java selects the finest coffees from around the world and roasts them in Thermopolis, Wyoming’s mountain air. All Jackrabbit Java coffees are specialty-grade and roasted to order. Visit www.jackrabbitjava.com for more information.",Medium-Light,Jackrabbit Java,"Thermopolis, Wyoming",https://www.coffeereview.com/review/ethiopia-gogogu-bekaka-4/,2,Woody,0,0,1,2,0,1,1,1,0,1,1,1,1,1,1,2,0,2
939,SGG Ethiopia Sidamo G2,91,Very Good to Outstanding,NT $250/227 grams,8,8,8,9,58/76,"Sweetly herbaceous, cocoa-driven. Cocoa nib, lemon-thyme, pink grapefruit zest, caramel, cedar in aroma and cup. Sweetly savory with brisk acidity; delicate, silky mouthfeel. T","Guji Zone, Oromia Region, Ethiopia","Guji is a coffee-growing region nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions. Guji coffees are largely produced from distinctive landrace varieties of Arabica long grown there. Processed by the washed method (fruit skin and pulp are removed before drying). Mr. Chao Coffee is a subsidiary of Intekeco Co., Ltd, based in New Taipei City, Taiwan, which provides both green and roasted coffee to wholesale and retail clients. Visit https://chao-coffee.webnode.tw/zh-tw/ for more information.",Medium-Light,Mr. Chao Coffee,"New Taipei City, Taiwan",https://www.coffeereview.com/review/sgg-ethiopia-sidamo-g2/,2,Citrusy,1,0,2,1,0,0,1,0,0,2,1,0,2,0,1,2,0,3
956,Sweet Kenya J36 Espresso,95,Exceptional,NT $400/120 grams,9,9,9,9,52/76,"Evaluated as espresso. Complex, vibrant, richly nuanced. Toffee, pomegranate, dark chocolate, star jasmine, marjoram in aroma and small cup. Very viscous, syrupy-smooth mouthfeel; resonant, long, flavor-saturated finish. Integrated and harmonious in three parts milk, with pomegranate and dark chocolate framing deep suggestions of star jasmine.","Nyeri growing region, south-central Kenya","Despite grower discontent, unclear government coffee policy and urban encroachment on prime coffee lands, the famed Kenya cooperatives continue to produce some of the world's most elegant and distinctive coffees. Green Stone Coffee is a woman-owned artisan roastery in Taipei, Taiwan founded in 2016 and specializing in sourcing distinctive coffees that express their individual terroirs. Visit www.greenstone-coffee.com.tw for more information. ",Medium-Light,Green Stone Coffee,"Taipei, Taiwan",https://www.coffeereview.com/review/sweet-kenya-j36-espresso/,0,Bold,0,1,0,0,0,2,1,0,1,1,1,1,2,2,0,1,3,2
964,Colombia La Riviera Sudan Rume,94,Very Good to Outstanding,$11.99/4 ounces,8,9,9,9,58/76,"Delicate, complex, rich-toned. Cocoa nib, persimmon, caramel, cardamom, fresh-cut cedar in aroma and cup. Sweet-savory structure with balanced, bright acidity; lithe, satiny mouthfeel. Cocoa-toned finish with undercurrents of caramel and cardamom. ","Risaralda, Caldas Department, Colombia","Produced at Finca La Riviera entirely of the rare Sudan Rume variety of Arabica and processed by a proprietary method that involves fermentation of the whole fruit, followed by a cold-soak, before de-pulping and drying. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana, natives Caleb and Laura Walker that specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.",Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana",https://www.coffeereview.com/review/colombia-la-riviera-sudan-rume/,0,Delicate,1,0,0,1,0,0,1,0,0,1,1,0,1,2,1,2,1,2
971,Guatemala Geisha,94,Very Good to Outstanding,NT $1000/200 grams,8,9,9,9,62/80,"Juicy, fruit-driven, balanced. Raspberry jam, dark chocolate, narcissus, caramel, cedar in aroma and cup. Tart-leaning structure with winy acidity; impressively satiny-smooth mouthfeel. The crisply sweet-tart finish centers around raspberry and chocolate suggestions. ","Huehuetenango Department, Guatemala","Produced at San Andreas Estate entirely of the famous Geisha (also spelled Gesha) variety of Arabica, and processed by the washed method. Omine Coffee is a new label offered by the soymilk manufacturer Yonho, based in Taipei. Visit https://www.facebook.com/yonho/ for more information.",Light,Omine Coffee,"Taipei, Taiwan",https://www.coffeereview.com/review/guatemala-geisha-2/,0,Berry,0,0,0,1,3,2,1,0,0,1,1,0,4,1,1,3,2,2
974,Tanzania Acacia Hills Gesha Peaberry,95,Exceptional,$120.00/6 ounces,9,9,9,9,62/78,"Deep-toned, richly sweet-savory. Blackberry jam, toffee, lavender, spearmint, fresh-cut cedar in aroma and cup. Vibrantly sweet-savory structure with lilting acidity; lively, viscous mouthfeel. Blackberry and lavender notes lead in the short finish, which rounds toward toffee in the long.","Ngorongoro, Tanzania","This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced at Acacia Hills Coffee entirely of the celebrated Gesha (also spelled Geisha) variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). This sample consists entirely of peaberries, a kind of bean that results when the coffee fruit develops a single, oval bean rather than the usual pair of flat-sided beans. Chromatic prides itself in doing everything in-house and meticulously, from printing its attractive bags to modifying equipment to sourcing and roasting its exceptional coffees. Visit www.chromaticcoffee.com for more information.

 ",Medium-Light,Chromatic Coffee,"San Jose, California",https://www.coffeereview.com/review/tanzania-acacia-hills-gesha-peaberry/,0,Fruity,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,2
977,Colombia Trujillo Experimental Process,94,Very Good to Outstanding,$25.00/12 ounces,8,9,9,9,57/77,"Citrus- and chocolate-toned. Candied mandarin, dark chocolate, hazelnut butter, wisteria, fresh-cut oak in aroma and cup. Sweet-toned structure with bright, balanced acidity; syrupy-smooth mouthfeel. Crisply sweet, citrusy finish with dark chocolate undertones.","Santa Barbara, Antioquia Department, Colombia","Produced by Felipe Trujillo of Finca La Ventolera entirely of the Castillo variety of Arabica, and processed by the anaerobic natural method (the coffee cherries are fermented in the whole fruit with limited access to oxygen before they are dried). Nostalgia Coffee Roasters was founded by Taylor Fields in 2018 as a mobile café; it has since added specialty roasting and online sales of select fine coffees. Visit www.nostalgiacoffeeroasters.com for more information. ",Medium-Light,Nostalgia Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/colombia-trujillo-experimental-process/,0,Citrusy,0,0,2,1,0,2,1,2,1,1,1,0,3,0,1,1,2,2
981,Magnolia Blend Espresso,93,Very Good to Outstanding,$16.00/12 ounces,8,9,8,9,52/72,"Evaluated as espresso. Sweet-toned, chocolaty and floral. Dark chocolate, pomegranate, freesia-like flowers, cedar, caramel in aroma and cup. Satiny-smooth mouthfeel; chocolaty, caramel-toned finish. In three parts milk, dessert-like in its chocolaty sweetness and floral undertones.",Papua New Guinea; Costa Rica,A blend of washed- and natural-processed coffees from Papua New Guinea and Costa Rica. Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.,Medium-Light,Magnolia Coffee,"Charlotte, North Carolina",https://www.coffeereview.com/review/magnolia-blend-espresso/,2,Chocolaty,0,1,0,1,0,0,1,0,1,1,2,2,1,1,0,2,0,2
982,Ethiopia Buno Dambi Uddo,94,Very Good to Outstanding,$25.00/12 ounces,8,9,9,9,65/83,"Richly aromatic, sweet-tart. Watermelon candy, dark chocolate, freesia and hop flowers, cedar in aroma and cup. Sweetly tart structure with gently bright acidity; plush, syrupy mouthfeel. The tart-leaning finish consolidates to notes of watermelon candy and hop flowers.","Odo Shakiso District, Western Guji, Ethiopia",Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopia landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.,Light,Jaunt Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/ethiopia-buno-dambi-uddo/,0,Sweet,2,0,0,1,0,3,1,0,0,1,1,1,0,1,2,0,1,2
997,Colombia La Estrella Carbonic Maceration,93,Very Good to Outstanding,$28.00/12 ounces,8,9,9,9,52/70,"Delicately and confidently sweet. Watermelon candy, lemon-thyme, cocoa nib, freesia, fresh-cut oak in aroma and cup. Sweet-tart structure with brisk acidity; very smooth, full mouthfeel. Sweetly herbaceous finish.","Huila Department, Colombia","Produced by Jairo Ivan Lopez entirely of the Geisha variety of Arabica, and processed by the carbonic maceration method, which involves fermenting whole coffee fruit inside a sealed container that has been flushed with CO2, then drying the coffee still in the whole fruit. Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit peachcoffeeroasters.com for more information.",Medium-Light,Peach Coffee Roasters,"Johns Creek, Georgia",https://www.coffeereview.com/review/colombia-la-estrella-carbonic-maceration/,0,Herbal,1,0,1,1,0,1,1,0,0,3,1,0,2,0,1,2,0,4
1003,Kenya Gachatha Nyeri,93,Very Good to Outstanding,$23.50/12 ounces,8,9,9,9,58/76,"Delicately sweet, deeply savory. Butterscotch, cocoa nib, black currant, frankincense, marjoram in aroma and cup. Crisply sweet-tart structure with balanced acidity; full, syrupy-smooth mouthfeel. The cocoa-toned finish is supported by notes of butterscotch and marjoram.","Nyeri growing region, south-central Kenya","Despite challenges ranging from unclear government coffee policy and urban encroachment on prime coffee lands to chronically unstable weather, the famed Kenya coffee auction system and its participating cooperatives continue to produce some of the world’s most elegant and distinctive coffees. Temple Coffee is a quality-focused retail and wholesale specialty roaster active in Sacramento, California since 2005. Committed to sourcing, roasting and brewing the finest coffees, Temple features coffee from distinguished single estates and cooperatives around the world. Visit www.templecoffee.com or call 916-454-1282 for more information.",Medium-Light,Temple Coffee Roasters,"Sacramento, California",https://www.coffeereview.com/review/kenya-gachatha-nyeri/,0,Sweet,0,0,0,0,1,3,1,0,1,1,1,0,4,0,2,2,2,2
1011,Ethiopia Lecho Torka,92,Very Good to Outstanding,$20.00/12 ounces,8,9,8,9,57/75,"Flavor-saturated, sweetly tart. Candy apple, lime zest, cocoa nib, freesia-like flowers, fresh-cut fir in aroma and cup. Gently tart structure with crisp acidity; velvety-smooth mouthfeel. Wood-framed finish with undertones of cocoa nib and lime zest.","Guji Zone, Oromia Region, southern Ethiopia","Guji is a coffee-growing region nestled next to Ethiopia's longer-known Yirgacheffe and Sidamo regions. Processed by the wet or washed method (fruit skin and pulp are removed before drying). Old Soul is a roastery, bakery and crafter of artisanal goods dedicated to quality in every form. Visit www.oldsoulco.com or call 916-443-7685 for more information.",Medium-Light,Old Soul Co.,"Sacramento, California",https://www.coffeereview.com/review/ethiopia-lecho-torka/,2,Woody,0,0,1,2,0,1,1,0,0,1,1,1,2,1,1,1,2,2
1015,SL28,94,Very Good to Outstanding,$33.00/8 ounces,8,9,9,9,56/76,"Crisply sweet-tart, balanced, bright. Nectarine, narcissus, Meyer lemon zest, nougat, cedar in aroma and cup. Sweetly tart structure with lively, almost effervescent acidity; satiny-smooth, fluffy mouthfeel. The lingering finish leads with notes of nectarine and narcissus, rounding to nougat in the long.","North Kona growing district, “Big Island” of Hawai’i","This coffee tied for the third-highest rating in a cupping of coffees from roasters in North American beach and coastal communities for Coffee Review’s April 2021 report. Certified USDA organic. Produced at Hala Tree farm entirely of the SL28 variety of Arabica and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Hala Tree Coffee is a family-owned coffee farm in the heart of the Kona coffee belt, overlooking historic Kealakekua Bay. The 100% Kona Coffee produced on this USDA organic-certified property is processed and roasted on site to ensure quality. For more information, visit www.halatreecoffee.com.",Medium-Light,Hala Tree Kona Coffee,"Captain Cook, Hawai’i",https://www.coffeereview.com/review/sl28/,0,Delicate,0,0,1,1,0,1,1,0,0,1,0,0,3,1,1,2,2,2
1018,Kenya Nyeri,94,Very Good to Outstanding,NT $650/225 grams,8,9,9,9,60/78,"Rich-toned, deeply aromatic. Black currant, toffee, narcissus, cedar, agave syrup in aroma and cup. Sweetly tart with bright, juicy acidity; syrupy-smooth mouthfeel. The finish consolidates to notes of black currant and toffee that carry far into the long.","Nyeri growing region, south-central Kenya","This coffee earned the highest rating in a cupping of “Cause Coffees” for Coffee Review’s March 2021 report. Roasters of these coffees contribute a portion of proceeds to non-profit organizations doing work to improve the lives of others, locally or globally. Green Stone Coffee is a woman-owned artisan roastery in Taipei, Taiwan founded in 2016 and specializing in sourcing distinctive coffees that express their individual terroirs. Green Stone will donate 20% of net profits from the sale of this coffee to The Growth Association. Visit www.greenstone-coffee.com.tw for more information.

 ",Medium-Light,Green Stone Coffee,"Taipei, Taiwan",https://www.coffeereview.com/review/kenya-nyeri-4/,0,Sweet,1,0,0,1,1,4,1,0,0,1,0,0,2,1,1,2,1,2
1028,Ethiopia Yirgacheffe G1 Natural Asfaw Maru,94,Very Good to Outstanding,$16.95/12 ounces,8,9,9,9,52/70,"Fruit-forward, richly sweet. Berry melange (blueberry, raspberry, blackberry), chocolate fudge, sandalwood, molasses, narcissus-like flowers in aroma and cup. Sweet-toned structure with juicy acidity; creamy, viscous mouthfeel. The resonant finish centers around notes of chocolate fudge and blueberry.","Yirgacheffe growing region, southern Ethiopia","Produced by farmer Asfaw Maru on his small farm in the Yirgacheffe growing region and processed by the natural method. RamsHead Coffee Roasters is a family-owned company founded by Bozeman, Montana natives Caleb and Laura Walker. RamsHead specializes in direct trade microlot coffees. For more information, visit www.ramsheadcoffee.com.",Medium-Light,RamsHead Coffee Roasters,"Bozeman, Montana",https://www.coffeereview.com/review/ethiopia-yirgacheffe-g1-natural-asfaw-maru/,0,Berry,0,0,0,2,3,1,1,0,1,1,1,1,2,0,1,1,1,2
1063,Ethiopia Natural Guji Kercha Lot Riverside,94,Very Good to Outstanding,NT $275/8 ounces,8,9,9,9,58/78,"Delicate, sweetly fruit-toned, complex. Dried persimmon, nougat, lilac, dark chocolate, a hint of spearmint in aroma and cup. Sweetly tart structure with wine-like acidity; satiny, viscous mouthfeel. The chocolaty finish is supported by notes of persimmon and nougat.","Guji Zone, Oromia Region, southern Ethiopia",Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,Medium-Light,Kakalove Cafe,"Chia-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-natural-guji-kercha-lot-riverside/,0,Fruity,2,0,0,0,1,1,1,0,0,1,2,1,2,2,1,2,2,2
1064,Colombia Hacienda Casablanca,94,Very Good to Outstanding,US $20.00/12 ounces,8,9,9,9,62/78,"Richly sweet-tart, floral-toned. Narcissus, cocoa nib, apricot, almond nougat, fresh-cut cedar in aroma and cup. Sweetly tart structure with bright, juicy acidity; full, syrupy-smooth mouthfeel. The finish consolidates to notes of almond nougat and narcissus with cocoa nib undertones.","Cundinamarca, Colombia",Produced by Liliana Caballero Rojas of Hacienda Casablanca from trees of the Castillo and Geisha varieties of Arabica and processed by the washed method. Visit www.stereocoffeeroasters.com or email [email protected] for more information.,Medium-Light,Stereo Coffee Roasters,"Toronto, Ontario, Canada",https://www.coffeereview.com/review/colombia-hacienda-casablanca/,0,Sweet,2,0,0,1,0,3,1,1,0,1,1,1,2,0,1,2,0,2
1096,Kenya AA Ares Phoenix Special,96,Exceptional,NT $900/8 ounces,9,9,9,9,44/60,"Evaluated as espresso. Richly chocolaty and floral-toned. Chocolate fudge, narcissus, molasses, sandalwood, dried red currant in aroma and small cup. Creamy-smooth mouthfeel; resonant, flavor-saturated finish. Lyrically sweet in three parts milk, with deep-toned notes of chocolate fudge and narcissus into the long.","Nyeri growing region, south-central Kenya","This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2020. Produced from trees of the admired SL-28 and SL-34 varieties of Arabica. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.",Medium,Simon Hsieh’s Aroma Roast Coffees,"Taoyuan, Taiwan",https://www.coffeereview.com/review/kenya-aa-ares-phoenix-special/,0,Woody,0,0,0,2,1,1,1,0,2,1,2,1,1,1,0,1,1,2
1134,Umoja Organic Red Bourbon,93,Very Good to Outstanding,$24.00/16 ounces,8,9,8,9,64/80,"Balanced, deeply sweet with savory undertones. Caramel, red apple, baking chocolate, grapefruit zest, freesia-like flowers in aroma and cup. Sweetly savory structure with crisp, lively acidity; lightly syrupy mouthfeel. The finish centers around notes of caramel and freesia with a lasting hint of grapefruit zest.","South Kivu Province, Democratic Republic of the Congo","Certified organic. Produced at Umoja Farm entirely from the Red Bourbon variety of Arabica and processed by the washed method. Equiano Coffee was founded in 2013 by the Udosenata family. For more information, visit www.equianocoffee.com.",Light,Equiano Coffee,"Eugene, Oregon",https://www.coffeereview.com/review/umoja-organic-red-bourbon/,2,Sweet,1,0,1,0,0,2,1,0,0,1,1,1,1,0,1,1,1,2
