,desc_sub,review,est_price,name,roaster,roast,loc_country,origin,100g_USD,rating,review_date
251,"Deeply aromatic, richly nuanced. Dried mulberry, d","Deeply aromatic, richly nuanced. Dried mulberry, dark chocolate, hazelnut brittle, wisteria, Meyer lemon zest in aroma and cup. Sweet-tart structure with bright, juicy acidity; syrupy-smooth mouthfeel. Cocoa- and floral-toned finish with undertones of hazelnut and Meyer lemon zest.",NT $350/8 ounces,Ethiopia Natural Guji Dasaya SP,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,4.96,95,March 2022
252,"Vibrantly sweet, gently fermenty. Lime zest, tea r","Vibrantly sweet, gently fermenty. Lime zest, tea rose, cocoa nib, sandalwood, a hint of aged Tequila in aroma and cup. Brightly sweet with high-toned acidity; plush, syrupy mouthfeel. In the finish crisp cocoa nib balances the fruit. ",$20.00/12 ounces,Ethiopia Anaerobic Shantawene,SkyTop Coffee,Medium-Light,United States,Ethiopia,5.88,94,March 2022
253,"Juicy, bright, delicate, balanced. Apricot, dark c","Juicy, bright, delicate, balanced. Apricot, dark chocolate, lilac, maple syrup, almond butter in aroma and cup. Crisply sweet-tart with crisp, citrusy acidity; vibrantly silky mouthfeel. Chocolaty, fruit-toned finish with hints of lilac.",$26.00/12 ounces,Ethiopia Bensa Asefa Qonqana,Jaunt Coffee Roasters,Light,United States,Ethiopia,7.64,94,March 2022
254,"Richly fruit-forward, deeply chocolaty. Dried mang","Richly fruit-forward, deeply chocolaty. Dried mango, chocolate fudge, wisteria, cedar, pistachio in aroma and cup in aroma and cup. Sweetly tart structure with winy acidity; plush, syrupy mouthfeel. The rich-toned finish consolidates to notes of dried mango, chocolate fudge and cedar.",$19.00/12 ounces,Ethiopia Durato Bombe,Magnolia Coffee,Medium-Light,United States,Ethiopia,5.58,94,March 2022
255,"Complex, richly sweet-tart. Nectarine, Meyer lemon","Complex, richly sweet-tart. Nectarine, Meyer lemon zest, cocoa nib, nougat, lilac in aroma and cup. Sweet-tart structure with juicy, balanced acidity; delicate, satiny-smooth mouthfeel. The finish consolidates to notes of cocoa nib and Meyer lemon.",$20.00/12 ounces,Ethiopia Washed Shantawene,SkyTop Coffee,Medium-Light,United States,Ethiopia,5.88,94,March 2022
256,"Nuanced, multi-layered, complex. Red currant, hone","Nuanced, multi-layered, complex. Red currant, honeysuckle, pomegranate, cocoa nib, cedar in aroma and cup. Sweet-tart structure with bright, vibrant acidity; plush, syrupy-smooth mouthfeel. The flavor-saturated finish consolidates to notes of red currant and cocoa nib, with undertones of cedar.",NT $360/8 ounces,Kenya Washed Kabingara AA,Kakalove Cafe,Medium-Light,Taiwan,Kenya,5.1,94,March 2022
257,"Pungent, sweetly tart, fruity. Sweet-Tarts candy, ","Pungent, sweetly tart, fruity. Sweet-Tarts candy, hazelnut brittle, agave syrup, dried fennel, lily in aroma and cup. Tart-leaning structure with gentle acidity; very full, creamy mouthfeel. Finish consolidates to notes of fennel and hazelnut.",NT $295/115 grams,Honduras Anaerobic Natural,Min Enjoy Cafe,Light,Taiwan,Honduras,8.21,93,March 2022
258,"Savory-sweet, deep-toned, juicy. Concord grape, mu","Savory-sweet, deep-toned, juicy. Concord grape, mustard flower, dark chocolate, tangerine zest, cedar in aroma and cup. Savory-leaning structure with cola-like, phosphoric acidity; viscous, satiny mouthfeel. Flavor-saturated finish, long, chocolate-laden, fruity and spice-toned.",NT $750/227 grams,Kenya Nyeri Jungle Estate Red Cherry SLD Anaerobic Natural,Vennel Coffee,Medium-Light,Taiwan,Kenya,10.57,95,March 2022
259,"Richly spice-toned, fruit-forward. Goji berry, amb","Richly spice-toned, fruit-forward. Goji berry, amber, dried ginger, cashew, freesia-like flowers in aroma and cup. Sweet in structure with high-toned acidity; plush, syrupy mouthfeel. The flavor-saturated finish consolidates to notes of goji berry and amber.",$25.00/8 ounces,Haraaz Red Yemen,JBC Coffee Roasters,Medium-Light,United States,Yemen,11.02,94,March 2022
260,"Deep-toned, richly sweet-savory. Pomegranate, toff","Deep-toned, richly sweet-savory. Pomegranate, toffee, shiitake mushroom, dark chocolate, marjoram in aroma and cup. Sweetly savory structure with balanced, bright acidity; plush, syrupy mouthfeel. The resonant finish consolidates to notes of pomegranate and dark chocolate with a hint of shiitake mushroom.",$22.00/12 ounces,El Salvador Anarquia Pacamara,Tipico Coffee,Light,United States,El Salvador,6.47,94,March 2022
261,"Gently sweet-tart, citrus-toned. Cocoa nib, tanger","Gently sweet-tart, citrus-toned. Cocoa nib, tangerine, lilac, mango, cedar in aroma and cup. Richly sweet structure with brisk acidity; full, syrupy mouthfeel. The quietly tart finish consolidates to cocoa-toned mango and cedar.",$17.75/12 ounces,Ethiopia Karamo Natural,Tipico Coffee,Medium-Light,United States,Ethiopia,5.22,93,March 2022
262,"Deep-toned, richly sweet. Dark chocolate, toffee, ","Deep-toned, richly sweet. Dark chocolate, toffee, dried persimmon, hazelnut, cedar in aroma and cup. Sweet structure with gentle acidity; full, syrupy smooth mouthfeel. Chocolaty finish with undertones of rich cedar.",$22.00/12 ounces,Guatemala Reserve Las Moritas Yellow Pacamara,Tipico Coffee,Medium-Light,United States,Guatemala,6.47,93,March 2022
263,"Richly fruit-saturated, balanced, juicy. Black che","Richly fruit-saturated, balanced, juicy. Black cherry, Bourbon barrel, cocoa nib, wisteria, candycap mushroom in aroma and small cup. Deep, sweet-savory structure with high-toned, malic acidity; plush, syrupy mouthfeel. Resonant, long, flavor-laden finish that fulfills the promise of the cup.",$69.00/6 ounces,Colombia Sidra Natural Signature Selection,Bird Rock Coffee Roasters,Light,United States,Colombia,40.56,96,March 2022
264,"Ultra-high-toned, fruit-driven, richly floral. Wis","Ultra-high-toned, fruit-driven, richly floral. Wisteria, dried nectarine, pistachio brittle, calamansi lime, tarragon in aroma and cup. Deeply sweet structure with resoundingly bright, lively acidity; delicately silky, viscous mouthfeel. Long, floral-toned finish supported by bittersweet citrus.",$40.00/4 ounces,Colombia Finca El Paraiso Geisha Letty,Paradise Roasters,Light,United States,Colombia,35.27,97,February 2022
265,"Richly sweet-savory, complex, layered. Dark chocol","Richly sweet-savory, complex, layered. Dark chocolate, lilac, candycap mushroom, cedar, black cherry in aroma and cup. Sweetly tart structure with bright, juicy acidity; very full, creamy mouthfeel. The resonant finish consolidates to notes of cocoa-toned lilac and black cherry.",$40.95/4 ounces,Monarch Estate Pacamara,Monarch Coffee,Medium-Light,Hawai'i,Hawai'I,36.11,94,February 2022
266,"Richly sweet, deeply layered. Lychee, tangerine ze","Richly sweet, deeply layered. Lychee, tangerine zest, mesquite, star jasmine, agave syrup in aroma and cup. Sweet-tart structure with vibrantly bright acidity; very full, syrupy mouthfeel. The finish consolidates to notes of agave syrup and mesquite.",$40.00/4 ounces,Uluwehi Farm Kona SL34 Yeast-Fermentation Washed Peaberry,Paradise Roasters,Medium-Light,United States,Hawai'I,35.27,94,February 2022
267,"Complex, high-toned, resiny. Malt, amber, pomelo, ","Complex, high-toned, resiny. Malt, amber, pomelo, baking chocolate, date in aroma and cup. Brightly bittersweet structure with juicy acidity; plush, satiny mouthfeel. Perfumed finish with leading notes of amber and pomelo.",$25.00/4 ounces,Ka’u IPA Natural,Paradise Roasters,Medium-Light,United States,Hawai'I,22.05,95,February 2022
268,"Balanced, delicately fruit-toned. Dried apricot, c","Balanced, delicately fruit-toned. Dried apricot, caramel, coriander, oak, milk chocolate in aroma and cup. Sweet-toned structure with gently brisk acidity; plush, syrupy mouthfeel. The finish centers around notes of caramel-toned apricot with chocolate undertones.",$18.00/6 ounces,Honduras Finca Cerro Azul Yellow Pacas,Paradise Roasters,Medium-Light,United States,Honduras,10.58,93,February 2022
269,"Crisply sweet-tart, cocoa-toned. Cocoa nib, pomegr","Crisply sweet-tart, cocoa-toned. Cocoa nib, pomegranate, freesia, almond butter, orange zest in aroma and cup. Sweet-tart structure with brisk acidity; lightly satiny mouthfeel. Cocoa-and nut-toned finish with undertones of orange zest.",$42.00/4 ounces,Monarch Estate Hawaiian Gesha,Monarch Coffee,Medium-Light,Hawai'i,Hawai'I,37.04,92,February 2022
270,"Chocolaty, crisply sweet. Baking chocolate, date, ","Chocolaty, crisply sweet. Baking chocolate, date, hazelnut, magnolia, a hint of marjoram in aroma and cup. Sweet structure with gentle, round acidity; plush, syrupy mouthfeel. Crisp, chocolaty finish.",$26.00/8 ounces,‘Ōpio Kona,Monarch Coffee,Medium-Light,Hawai'i,Hawai'I,11.46,91,February 2022
271,"Chocolaty, crisply sweet. Baking chocolate, date, ","Chocolaty, crisply sweet. Baking chocolate, date, hazelnut, magnolia, a hint of marjoram in aroma and cup. Sweet structure with gentle, round acidity; plush, syrupy mouthfeel. Crisp, chocolaty finish.",NT $200/453 grams,‘Ōpio Kona,Monarch Coffee,Medium-Light,Hawai'i,Hawai'I,11.46,91,February 2022
272,"Roast-rounded, chocolaty, fruit-forward. Scorched ","Roast-rounded, chocolaty, fruit-forward. Scorched cedar, Nutella, molasses, dried plum, magnolia in aroma and cup. Sweet structure with very gentle acidity; plush, creamy mouthfeel. The finish consolidates around Nutella and magnolia with a hint of smoke. ",$20.00/4 ounces,Hawai’i Ka’u Classic Dark,Paradise Roasters,Medium,United States,Hawai'I,17.64,92,February 2022
273,"Vibrant, deep, complex. Apricot, baking chocolate,","Vibrant, deep, complex. Apricot, baking chocolate, hazelnut, lemon verbena, freesia-like flowers in aroma and cup. Sweetly tart structure with juicy acidity; lightly satiny mouthfeel. A cocoa-toned finish is supported by notes of stone fruit and hazelnut.",$19.00/12 ounces,Guatemala Finca Buena Esperanza,Oak & Bond Coffee Company,Medium-Light,United States,Guatemala,5.58,93,February 2022
274,"Brightly sweet, deeply pungent. Amber, red currant","Brightly sweet, deeply pungent. Amber, red currant, baking chocolate, violet, cedar in aroma and cup. Sweet-toned structure with brisk acidity; crisp, silky mouthfeel. The finish consolidates around amber and currant notes with crisp chocolate undertones.",$25.00/12 ounces,Ethiopia Hambela Goro,Jaunt Coffee Roasters,Light,United States,Ethiopia,7.35,92,February 2022
275,"Deeply aromatic, richly sweet-tart. Black cherry, ","Deeply aromatic, richly sweet-tart. Black cherry, honeysuckle, hazelnut butter, baking chocolate, tangerine zest in aroma and cup. Sweetly tart structure with fruit-toned, winy acidity; full, syrupy-smooth mouthfeel. Finish consolidates to notes of hazelnut and baking chocolate with support from black cherry.",$19.00/12 ounces,Shakiso Natural,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.58,94,February 2022
276,"High-toned, floral. Narcissus, apricot, almond, ta","High-toned, floral. Narcissus, apricot, almond, tangerine zest, sandalwood in aroma and cup. Balanced, sweet structure with bright acidity; plush, syrupy mouthfeel. The resonant finish centers around narcissus and tangerine zest.",NT $470/225 grams,La Esmeralda Diamond Mountain Washed Coffee,Satur Specialty Coffee,Medium-Light,Taiwan,Panama,6.68,94,February 2022
277,"Sweetly fruit-forward, deeply aromatic. Passion fr","Sweetly fruit-forward, deeply aromatic. Passion fruit, tangerine zest, cocoa nib, lemon verbena, agave syrup in aroma and cup. Sweet-tart structure with vibrant acidity; satiny-smooth mouthfeel. The finish centers around notes of tangerine with cocoa undertones.",NT $450/8 ounces,COE Sidama Bona 74110,VERYTIME,Medium-Light,Taiwan,Ethiopia,6.37,93,February 2022
278,"Deeply sweet, intense, perfumy. Guava, ripe banana","Deeply sweet, intense, perfumy. Guava, ripe banana, chocolate fudge, oak, lily in aroma and cup. Juicy-sweet and lactic (yogurty) in structure with pleasingly tart acidity; syrupy-smooth mouthfeel. Crisply sweet finish consolidates to notes of chocolate fudge, lily and oak.",NT $450/8 ounces,Ethiopia Yirgacheffe Adorsi G1,VERYTIME,Medium-Light,Taiwan,Ethiopia,6.37,93,February 2022
279,"Rich, deep, sweetly earth-toned. Pipe tobacco, bak","Rich, deep, sweetly earth-toned. Pipe tobacco, baking chocolate, date, pistachio, jasmine in aroma and cup. Sweet structure with pert acidity; full, creamy mouthfeel. Pipe tobacco and cashew complicate the chocolaty finish.",NT $370/225 grams,Gayo Mandheling Specialty Coffee,Satur Specialty Coffee,Medium-Light,Taiwan,Indonesia,5.26,93,February 2022
280,"A friendly, accessible natural-processed Ethiopia ","A friendly, accessible natural-processed Ethiopia cup: crisply sweet, deeply chocolaty, with hints of spicy florals throughout.",NT $300/8 ounces,Ethiopia Yirgacheffe G1,VERYTIME,Light,Taiwan,Ethiopia,4.25,91,February 2022
281,"Rich-toned, deeply floral. Wisteria, cocoa nib, ap","Rich-toned, deeply floral. Wisteria, cocoa nib, apricot, maple syrup, pink grapefruit zest in aroma and cup. Balanced, sweet structure with juicy but elegant acidity; plush, satiny mouthfeel. The finish is all flowers supported by deep cocoa notes.",$49.95/8 ounces,Karen J Kona Red Bourbon Natural Anaerobic,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,22.02,95,February 2022
282,"Balanced, chocolaty, nut-toned. Baking chocolate, ","Balanced, chocolaty, nut-toned. Baking chocolate, hazelnut butter, date, orange zest, cedar in aroma and cup. Sweet in structure with bright acidity; crisp, velvety mouthfeel. The nut-toned finish is long and very sweet.",NT $350/240 grams,Guo Mei Zhu,Luv Moshi,Medium-Light,Taiwan,Colombia,4.67,93,February 2022
283,"Richly sweet, delicately fermenty. Dried nectarine","Richly sweet, delicately fermenty. Dried nectarine, dark chocolate, Cointreau, pink peppercorn, lilac in aroma and cup. Sweetly tart structure with winy acidity. Plush, syrupy mouthfeel. Quietly fermenty finish with notes of dark chocolate and Cointreau.",NT$400/227 grams,Costa Rica Brunca Rivense La Guaca Passion Honey,Home in Harmony,Medium-Light,Taiwan,Costa Rica,5.64,94,February 2022
284,"Crisp, balanced, richly sweet. Dried blackberry, a","Crisp, balanced, richly sweet. Dried blackberry, agave syrup, hop flowers, almond nougat, cocoa nib in aroma and cup. Sweet-savory structure with lively acidity; full, satiny mouthfeel. Notes of agave syrup and blackberry lead in the finish, with support from inviting bittersweet, hop-like florals.",NT$350/227 grams,Ethiopia Gediyo Yirgacheffe Gedeb Worka Banko Gotiti Natural,Home in Harmony,Medium-Light,Taiwan,Ethiopia,4.93,93,February 2022
285,"High-toned, floral-driven. Star jasmine, bergamot,","High-toned, floral-driven. Star jasmine, bergamot, red plum, cocoa nib, sandalwood in aroma and cup. Sweetly tart with vibrant, juicy acidity; delicate, silky-smooth mouthfeel. In the finish, star jasmine and cocoa nib give way to bergamot and sandalwood.",NT $500/227g,Hunkute by Nordic Approach,Cafe Red Bean Shop,Light,Taiwan,Ethiopia,7.05,94,February 2022
286,"Fruit-forward, deeply chocolaty. Lychee, milk choc","Fruit-forward, deeply chocolaty. Lychee, milk chocolate, amber, tangerine zest, marjoram in aroma and cup. Sweet-toned with brisk acidity; buttery mouthfeel. Amber and tangerine zest lead in the quiet finish.",$23.00/12 ounces,Colombia Aromas de Sur,Drink Coffee Do Stuff,Medium-Light,United States,Colombia,6.76,93,February 2022
287,"Crisply spice-toned. Nutmeg, clove, baking chocola","Crisply spice-toned. Nutmeg, clove, baking chocolate, date, fir in aroma",$20.00/12 ounces,Costa Rica Termico,Battlecreek Coffee,Light,United States,Costa Rica,5.88,91,February 2022
288,"Evaluated as espresso. Richly sweet, floral-toned.","Evaluated as espresso. Richly sweet, floral-toned. Tea rose, almond, dark chocolate, date, cedar in aroma and small cup. Crisp, velvety mouthfeel; the resonant finish centers around notes of tea rose and cedar. In three parts milk, both chocolaty and floral, with undertones of aromatic cedar and almond.",NT $1000/227 grams,Birambo Village DR Congo Espresso,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.26,90,March 2020
289,"Evaluated as espresso. Richly sweet, floral-toned.","Evaluated as espresso. Richly sweet, floral-toned. Tea rose, almond, dark chocolate, date, cedar in aroma and small cup. Crisp, velvety mouthfeel; the resonant finish centers around notes of tea rose and cedar. In three parts milk, both chocolaty and floral, with undertones of aromatic cedar and almond.",$17.90/12 ounces,Birambo Village DR Congo Espresso,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.26,90,March 2020
290,"Evaluated as espresso. Richly sweet, floral-toned.","Evaluated as espresso. Richly sweet, floral-toned. Tea rose, almond, dark chocolate, date, cedar in aroma and small cup. Crisp, velvety mouthfeel; the resonant finish centers around notes of tea rose and cedar. In three parts milk, both chocolaty and floral, with undertones of aromatic cedar and almond.",NT $600/227 grams,Birambo Village DR Congo Espresso,JBC Coffee Roasters,Medium-Light,United States,Democratic Republic Of The Congo,5.26,90,March 2020
291,"Resonantly sweet-tart, high-toned. Passion fruit, ","Resonantly sweet-tart, high-toned. Passion fruit, toffee, pink grapefruit zest, jasmine, cedar in aroma and cup. Sweet-tart structure with juicy-bright acidity; very full, syrupy mouthfeel. The long, lingering finish centers around notes of toffee and pink grapefruit zest.",$22.00/12 ounces,Karindundu Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,6.47,94,February 2022
292,"Crisply sweet-toned. Cocoa nib, hazelnut, dried ap","Crisply sweet-toned. Cocoa nib, hazelnut, dried apricot, magnolia, cedar in aroma and cup. Deeply sweet structure with balanced acidity; full, syrupy mouthfeel. Cocoa-driven finish supported by cedar and hazelnut.",$45.00/16 ounces,Medium Roast,Kona Love Coffee Co.,Medium-Light,Hawai'i,Hawai'I,9.92,92,February 2022
293,"Bold, chocolaty, rich-toned. Dark chocolate, nouga","Bold, chocolaty, rich-toned. Dark chocolate, nougat, gardenia, date, gently scorched cedar in aroma and cup. Sweet-savory structure with gentle, round acidity; creamy-smooth mouthfeel. Sweetly wood-framed, chocolaty finish.",$35.00/16 ounces,Medium-Dark Roast,Kona Love Coffee Co.,Medium,Hawai'i,Hawai'I,7.72,91,February 2022
294,"Richly fruity, balanced, complex. Mango, lemon ver","Richly fruity, balanced, complex. Mango, lemon verbena, cocoa nib, freesia-like flowers, sandalwood in aroma and cup. Sweetly tart with vibrant, high-toned acidity; full, syrupy mouthfeel. Fruit- and cocoa-toned finish. ",$34.95/8 ounces,Colombia Geisha Natural,Cafe Kreyol,Medium-Light,United States,Colombia,15.41,94,February 2022
295,Deeply sweet-savory. Watermelon candy (Jolly Ranch,"Deeply sweet-savory. Watermelon candy (Jolly Rancher), chocolate fudge, oregano, cedar, hint of teriyaki sauce in aroma and cup. Savory-leaning structure with brisk acidity; lightly satiny mouthfeel. Salty, chocolaty finish.",$24.95/8 ounces,Colombia Caturra Anaerobic Natural,Cafe Kreyol,Medium-Light,United States,Colombia,11.0,92,February 2022
296,"Cleanly fruit-forward. Date, pink grapefruit zest,","Cleanly fruit-forward. Date, pink grapefruit zest, fresh-cut oak, hazelnut, magnolia in aroma and cup. Sweet structure with crisp acidity; buttery-smooth mouthfeel. The finish consolidates to pink grapefruit zest and hazelnut.",$19.00/12 ounces,Hunapu Natural Guatemala,JBC Coffee Roasters,Medium-Light,United States,Guatemala,5.58,94,January 2022
297,"Provocatively sweet, richly floral, musky. Aromati","Provocatively sweet, richly floral, musky. Aromatic orchid, cocoa nib, finger lime, fine musk, toffee in aroma and cup. Elegantly tart in structure with bright, juicy acidity; crisp yet syrupy mouthfeel. Very long, flavor-laden finish.",NT $400/4 ounces,Ethiopia Natural Sidama TAMIRU 74158,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,11.33,96,January 2022
298,"Deep-toned, richly sweet. Dark chocolate, hazelnut","Deep-toned, richly sweet. Dark chocolate, hazelnut butter, golden raisin, carnation, cedar in aroma and cup. Balanced structure with gentle acidity; very full, syrupy mouthfeel. Sweetly nut-toned finish with gently spicy aromatic wood suggestions.",$18.00/12 ounces,Uganda Organic Sipi Falls Honey,Jackrabbit Java,Medium-Light,United States,Uganda,5.29,93,January 2022
299,"Richly fruit-toned, balanced. Raspberry, pink pepp","Richly fruit-toned, balanced. Raspberry, pink peppercorn, star jasmine, cocoa nib, lemon-thyme in aroma and cup. Sweetly tart structure with vibrant acidity; creamy-smooth mouthfeel. The sweetly herb-toned finish leads with notes of raspberry and cocoa nib.",$20.00/12 ounces,Bedhatu Jibicho Natural,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.88,95,January 2022
300,"Evaluated as espresso. Concentrated, sweet-tart-sa","Evaluated as espresso. Concentrated, sweet-tart-savory. Candycap mushroom, mulberry, sandalwood, almond nougat, ginger blossom in aroma and small cup. Creamy-viscous mouthfeel; intensely sweet-tart finish. In three parts milk, tart fruit and umami notes mingle with nut-toned caramel.",NT $210/8 ounces,Ethiopia Natural Guji DoReMi,Kakalove Cafe,Medium-Light,Taiwan,Ethiopia,2.97,95,January 2022
301,"Bright, citrusy. Lime zest, cocoa nib, lychee, mar","Bright, citrusy. Lime zest, cocoa nib, lychee, marjoram, freesia-like flowers in aroma and cup. Lively structure with crisp acidity; satiny, viscous mouthfeel. The finish consolidates to notes of lime zest and marjoram.",$19.00/12 ounces,Gigesa Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.58,93,January 2022
302,"Cocoa-toned, gently bright. Cocoa powder, cashew, ","Cocoa-toned, gently bright. Cocoa powder, cashew, date, magnolia, fresh-cut fir in aroma and cup. Sweet structure with delicately bright acidity; velvety-smooth mouthfeel. Nut-toned, crisply chocolaty finish.",$38.50/12 ounces,Ka’u Peaberry Hawai’i,Jackrabbit Java,Medium-Light,United States,Hawai'I,11.32,92,January 2022
303,"Gently fruit-toned, lyrically sweet. Nectarine, ch","Gently fruit-toned, lyrically sweet. Nectarine, cherry blossom, almond butter, oregano, honey in aroma and cup. Richly sweet with high-toned acidity; full, syrupy mouthfeel. Integrated finish that retains all the notes from the aroma and cup.",NT $475/113 grams,Ethiopia Bench Maji Gesha Village Dimma Illubabor Forest A6 Natural,Taster's Coffee,Light,Taiwan,Ethiopia,13.45,95,January 2022
304,"Multi-layered, wide-ranging. Salted caramel, tange","Multi-layered, wide-ranging. Salted caramel, tangerine, lemon-thyme, cedar, magnolia in aroma and cup. Sweet structure with high-toned acidity; plush, syrupy mouthfeel. Resonant finish centers around notes of tangerine and caramel.",$25.00/12 ounces,Sumatra Siamang Forest,Paradise Roasters,Medium-Light,United States,Indonesia,7.35,94,January 2022
305,"Deeply sweet-savory, yet bright and juicy. Dark ch","Deeply sweet-savory, yet bright and juicy. Dark chocolate, hop flowers, apricot, marjoram, cedar in aroma and cup. Sweetly savory structure with vibrant acidity; crisp, lightly satiny mouthfeel. The long, lingering finish retains its flavor-saturated, engaging structure throughout.",$16.95/12 ounces,Kenya Gakuyuini AA,RamsHead Coffee Roasters,Medium-Light,United States,Kenya,4.98,94,January 2022
306,"Crisply sweet-savory. Baking chocolate, raspberry,","Crisply sweet-savory. Baking chocolate, raspberry, cedar, shiitake mushroom, hazelnut in aroma and cup. Sweetly savory structure with brisk acidity; velvety mouthfeel. The finish consolidates to notes of baking chocolate and cedar.",$29.00/12 ounces,Colombia Manos Juntas,Conscious Cup Coffee Roasters,Medium-Light,United States,Colombia,8.52,92,January 2022
307,"Rich-toned, crisply sweet. Apricot, honeysuckle, c","Rich-toned, crisply sweet. Apricot, honeysuckle, cocoa nib, fresh-cut oak, maple syrup in aroma and cup. Sweet-tart structure with bright, juicy acidity; lightly satiny mouthfeel. Cocoa-driven finish with undertones of maple syrup.",$24.00/12 ounces,Ethiopia Guji Goro Bedessa,Conscious Cup Coffee Roasters,Medium-Light,United States,Ethiopia,7.05,93,January 2022
308,"Fruit-forward, richly sweet-tart. Blackberry jam, ","Fruit-forward, richly sweet-tart. Blackberry jam, brown sugar, cocoa nib, fresh-cut oak, jasmine in aroma and cup. Sweet-toned structure with lively acidity; crisp, satiny mouthfeel. Fruit-toned finish with undertones of brown sugar and oak.",NT $650/200 grams,Ethiopia Guji Hambela G1 Kudume Wolicho Honey,GK Coffee,Light,Taiwan,Ethiopia,10.4,93,January 2022
309,"Bright, balanced, floral-driven. Ginger blossom, r","Bright, balanced, floral-driven. Ginger blossom, red plum, cocoa nib, tangerine zest, fresh-cut oak in aroma and cup. Juicy-sweet structure with lively acidity; plush, syrupy mouthfeel. Cocoa-toned finish with undertones of tangerine zest.",$25.00/8 ounces,Hacienda Esmeralda Ethiopian Accessions,modcup coffee,Light,United States,Panama,11.02,95,January 2022
310,"Deeply sweet, slightly fermenty. Dark chocolate, o","Deeply sweet, slightly fermenty. Dark chocolate, orange zest, whiskey barrel, almond butter, magnolia in aroma and cup. Bittersweet structure with round acidity; viscous, buoyant mouthfeel. Long, flavor-saturated, balanced finish.",$19.00/12 ounces,Gelena Geisha,Corvus Coffee Roasters,Medium-Light,United States,Ethiopia,5.58,94,January 2022
311,"Deep-toned, sweetly savory. Concord grape, hop flo","Deep-toned, sweetly savory. Concord grape, hop flowers, grapefruit",$25.00/8 ounces,Ethiopia Anaerobic Natural,modcup coffee,Medium-Light,United States,Ethiopia,11.02,94,January 2022
312,"Floral-toned, gently spicy. Freesia-like flowers, ","Floral-toned, gently spicy. Freesia-like flowers, cocoa nib, orange zest, candied walnut, fresh-cut fir in aroma and cup. Crisply sweet finish with brisk acidity; lightly satiny mouthfeel. Crisp, bittersweet finish with notes of freesia and candied walnut.",$19.00/12 ounces,Silver Monk Seasonal Blend,Corvus Coffee Roasters,Medium-Light,United States,Ethiopia,5.58,92,January 2022
313,"Richly spice-toned, fruit-driven. Dried papaya, sa","Richly spice-toned, fruit-driven. Dried papaya, salted caramel, cinnamon, nutmeg, agave syrup in aroma and cup. Sweet, low-toned structure with round acidity; syrupy-smooth mouthfeel. The quiet finish centers around notes of papaya, caramel and nutmeg.",$25.00/12 ounces,Holiday Reserve Roast — Costa Rica Termico,Folklore Coffee,Medium-Light,United States,Costa Rica,7.35,92,January 2022
314,"Crisply sweet, floral-toned. Jasmine, cocoa nib, a","Crisply sweet, floral-toned. Jasmine, cocoa nib, apricot, oak, thyme in aroma and cup. Sweet-toned structure with bright acidity. Silky-smooth mouthfeel. The finish consolidates to notes of cocoa-toned jasmine.",NT $550/200 grams,Ethiopia Guji Washed G1 Uncle Select Lot 21/01,GK Coffee,Medium-Light,Taiwan,Ethiopia,8.8,93,January 2022
315,"Evaluated as espresso. Aromatic orchid, dark choco","Evaluated as espresso. Aromatic orchid, dark chocolate, black cherry, gently scorched sandalwood, tarragon in aroma and small cup. Creamy-smooth mouthfeel; resonant, complex, long finish. In three parts milk, floral and fruit tones harmonize with dark chocolate for a particularly complex cappuccino.",NT $850/8 ounces,Ethiopia Aphrodite Washed Espresso,Simon Hsieh Aroma Roast Coffees,Medium,Taiwan,Ethiopia,12.04,96,January 2022
316,"Richly fruit-toned, complex. Dried mango, cocoa ni","Richly fruit-toned, complex. Dried mango, cocoa nib, cascara (coffee cherry tea), lilac, cedar in aroma and cup. Bittersweet structure with winy acidity; satiny-smooth mouthfeel. Fruit-driven finish with a bittersweet undercurrent that lends complexity.",$25.00/4 ounces,Kona Tropical Punch Washed,Paradise Roasters,Medium-Light,United States,Hawai'I,22.05,94,January 2022
317,"Deep-toned, sweetly savory. Ripe tomato, baking ch","Deep-toned, sweetly savory. Ripe tomato, baking chocolate, black currant, fresh-cut oak, lemon verbena in aroma and cup. Sweet-savory structure with crisp acidity; plush, syrupy mouthfeel. A quiet finish centers around notes of baking chocolate and aromatic oak.",$22.00/12 ounces,Gatomboya Kenya,JBC Coffee Roasters,Medium-Light,United States,Kenya,6.47,93,January 2022
318,"Sweetly herbaceous, citrus-toned. Thyme, lemon bal","Sweetly herbaceous, citrus-toned. Thyme, lemon balm, cocoa nib, freesia-like flowers, maple syrup in aroma and cup. Sweet-tart structure with balanced acidity; satiny-smooth mouthfeel. The finish leads with sweet herb notes supported by cocoa nib.",$19.00/12 ounces,Ethiopia Banko Gotiti Daniel Mijane,Old World Coffee Lab,Medium-Light,United States,Ethiopia,5.58,92,January 2022
