,review
176,rich resonant high toned lychee lilac chocolate fudge frankinense tamarind in aroma and cup sweet tart structure with juicy bright acidity plush syrupy smoooth mouthfeel the lingering finish is flavor saturated making good on the promise of the cup s deep sweetness
177,crisp elegantly sweet rich toned dried mango hazelnut butter hibiscus fresh cut cedar brown sugar in aroma and cup deeply sweet tart structure with vibrant acidity viscous satiny mouthfeel the finish leads with dried mango and hazelnut in the short hibiscus and cedar returning in the long
178,crisply sweet chocolaty baker s chocolate plum magnolia cedar molasses in aroma and cup sweet toned structure with gentle round acidity satiny smooth mouthfeel the gently drying finish is redolent with notes of baker s chocolate and magnolia with a hint of cedar like aromatic wood
179,high toned crisply sweet date cashew butter magnolia grapefruit zest cedar in aroma and cup sweetly tart in structure with brisk acidity full velvety mouthfeel the resonant finish leads with notes of date and magnolia in the short rounding to cashew butter and grapefruit zest in the long
180,rich sweet floral toned honeysuckle almond bing cherry baker s chocolate oak in aroma and cup sweet tart structure with round gentle acidity satiny smooth mouthfeel the gently drying finish consolidates to notes of cherry and baker s chocolate
181,crisply sweet impressively balanced black currant maple syrup almond cedar lilac like flowers in aroma and cup sweet tart in structure with juicy vibrant acidity velvety smooth mouthfeel the finish consolidates to black currant and maple syrup with undercurrents of hazelnut and cedar
182,richly fruit toned ripe blueberry dark chocolate oak agave syrup rhododendron like flowers in aroma and cup sweet toned in structure with rounded acidity full syrupy mouthfeel the resonant finish centers around deep blueberry and chocolate notes with a hint of oak
183,crisp sweetly nut toned hazelnut butter baker s chocolate cherry cedar freesia like flowers in aroma and cup sweet toned in structure with brisk acidity velvety smooth mouthfeel the sweet finish consolidates to an inviting nutty chocolate in the short and spice toned florals in the long
184,delicate vibrant richly tart passionfruit roasted cacao nib sandalwood star jasmine bergamot zest in aroma and cup sweet tart in structure with juicy bright acidity buoyant silky mouthfeel the long flavor saturated finish is redolent with notes of passionfruit star jasmine and cacoa nib
185,rich high toned sweetly herbaceous lemon verbena roasted almond black cherry narcissus black peppercorn in aroma and cup savory sweet structure with high toned lively acidity plush syrupy mouthfeel the finish leads with black cherry and narcissus in the short with notes of almond and peppercorn in the long and an undercurrent of lemon verbena throughout
186,complex sweetly tart spice toned peach fine musk toffee macadamia nut roasted cacao nib in aroma and cup sweet tart structure with vibrant juicy acidity plush syrupy mouthfeel the elegant lingering finish centers around notes of peach toffee and fine musk all cocoa toned
187,complexly layered with sweet savory depth wisteria hop flowers candied grapefruit zest black cherry pistachio butter in aroma and cup sweetly savory structure with gentle rounded acidity viscous syrupy mouthfeel the flavor saturated finish is a mirror of the cup carrying through on the coffee s savory sweet resonance
188,delicate sweetly spice toned salted caramel black cherry cinnamon roasted cashew clover flower in aroma and cup sweet savory structure high toned juicy acidity fruit toned finish with hints of cinnamon and clover flower
189,balanced deeply rich and sweet butterscotch sandalwood dark chocolate dried apricot lantana in aroma and cup appealing bittersweet structure with brisk acidity syrupy smooth mouthfeel the finish consolidates to notes of dark chocolate and butterscotch
190,crisp richly sweet toned tamarind hazelnut maple syrup pink peppercorn narcissus like flowers in aroma and cup sweetly tart structure with gentle acidity plush syrupy mouthfeel the finish consolidates to notes of tamarind hazelnut and pink peppercorn
191,aromatically subtle sweetly tart pie cherry roasted cacao nib pistachio thyme freesia like flowers in aroma and cup sweetly tart structure with juicy vibrant acidity viscous syrupy acidity the finish consolidates to notes of cocoa toned pie cherry and freesia
192,rich toned resonantly floral wisteria myrrh almond nougat lemon curd dried cherry in aroma and cup sweetly tart structure with zesty bright acidity full syrupy mouthfeel the finish leads with tart lemon curd and cherry notes followed by deep wisteria with an undercurrent of almond
193,complex multi faceted spice toned dahlia like flowers bergamot almond vanilla roasted cacao nib in aroma and cup sweetly tart structure with balanced bright acidity delicate silky smooth mouthfeel bergamot and vanilla toned cocoa carry the quiet balanced finish
194,crisply floral and sweetly herb toned dark chocolate lavender dried pear tangerine zest frankincense in aroma and cup sweet tart in structure with lively expansive acidity crisp syrupy mouthfeel the finish consolidates to pretty notes of lavender and dark chocolate with a hint of tangerine zest
195,crisp yet very sweet delicately intricate lavender lemon zest apple walnut fresh pipe tobacco in aroma and cup in structure massively sweet gently tart light velvety lively mouthfeel apple lemon and fresh tobacco notes saturate a quiet lightly drying finish
196,big round deeply and pungently layered fragrant cedar lavender baker s chocolate concord grape a hint of mace in aroma and cup bittersweet and rich in structure fat and plush in mouthfeel with a drying edge concord grape and cedar dominate in a continuing pungent but quite sweet finish
197,crisp delicately but intricately floral and spice toned jasmine walnut pipe tobacco sandalwood ripe peach a hint of lime zest in aroma and cup brisk and vivacious in structure light silky mouthfeel flavor layers but rings on in a jasmine toned gently drying finish
198,delicately sweet tart cocoa toned roasted cacao nib lemon zest narcissus mango frankincense in aroma and cup intricately sweet high toned with bright juicy acidity lush syrupy mouthfeel the richly sweet finish consolidates to cocoa toned mango supported by notes of frankincense
199,crisply sweet tart apricot sandalwood maple syrup orange zest freesia like flowers in aroma and cup sweet tart structure with brisk acidity satiny smooth mouthfeel the finish is quietly flavor saturated with lead notes of apricot and sandalwood
200,crisply sweet balanced baker s chocolate maple syrup gardenia cherry cedar in aroma and cup sweet tart in structure with brisk acidity velvety mouthfeel the finish consolidates to baker s chocolate and gardenia with hints of cedar
201,evaluated as espresso richly sweet cocoa toned cocoa powder date magnolia molasses oak in aroma and small cup satiny smooth mouthfeel resonant chocolaty finish with notes of magnolia and oak in three parts milk floral tones are amplified and cocoa notes are integrated with roasty sweet aromatic wood
202,delicate sweetly tart lemon drop roasted cacao nib pink peppercorn almond orange zest in aroma and cup sweet tart structure with bright juicy acidity satiny smooth mouthfeel the resonant finish consolidates to notes of lemon drop and cocoa with a hint of pink peppercorn
203,enchantingly rich intensely floral unique dried black cherry tea rose cognac chocolate fudge gently scorched almond wood in aroma and cup deeply sweet savory in structure with crisp apple toned acidity plump syrupy mouthfeel exceptionally long finish that carries over all the aroma and flavor notes from the cup plus an umami intrigue akin to candied bacon
204,fruit toned richly chocolaty dark chocolate dried blueberry freesia like flowers honey cedar in aroma and cup sweet tart structure with round gentle acidity full syrupy mouthfeel the finish consolidates to blueberry and chocolate notes with a hint of cedar
205,richly spiced toned deeply sweet dried apricot molasses pink peppercorn dark chocolate jasmine in aroma and cup sweet savory structure with engaging bright acidity plush syrupy mouthfeel the short finish leads with dried apricot and dark chocolate followed in the long by jasmine and pink peppercorn
206,delicately floral and fruit toned honeysuckle honeydew melon lemon verbena roasted cacao nib frankincense in aroma and cup sweet tart structure with playful bright acidity full satiny mouthfeel the richly sweet finish consolidates to cocoa toned honeysuckle and melon
207,deeply sweet rich toned apricot baker s chocolate honeysuckle oak agave syrup in aroma and cup sweet in structure with brisk acidity full syrupy mouthfeel the finish consolidates to apricot and baker s chocolate with hints of honeysuckle
208,delicately opulent honey lemon blossom cocoa fresh pipe tobacco a hint of roasted nut in aroma and cup very sweet gently crisp in structure buoyant almost levitating in mouthfeel quietly resonant cocoa toned in the finish
209,richly sweet spice toned roasted cacao nib tamarind tangerine zest freesia like flowers almond in aroma and cup sweet tart structure with juicy acidity crisp satiny mouthfeel resonant finish centers on notes of cocoa toned tamarind and freesia
210,richly sweet spicy tobacco toned pipe tobacco almond brittle ginger blossom mango roasted cacao nib in aroma and cup sweet savory structure with gentle rounded acidity crisp satiny mouthfeel the finish resonates with vanilla toned pipe tobacco and ginger blossom
211,bright richly sweet savory red currant hop flowers fresh cut cedar roasted cacao nib almond brittle in aroma and cup richly bittersweet structure with resonant high toned acidity viscous satiny mouthfeel the lingering finish leads with red currant and almond brittle in the short settling to cacao nib and hop flowers in the long
212,high toned richly sweet tart apricot wild honey sandalwood roasted cacao nib lilac in aroma and cup sweetly tart structure with vibrant juicy acidity plush syrupy mouthfeel the finish is resonant with all the aroma and flavor notes of the cup leading with apricot and lilac in the short and cocoa toned sandalwood in the long all sustained by a deep honeyish sweetness
213,elegantly fruit toned chocolaty dark chocolate dried fig oak narcissus like flowers molasses in aroma and cup crisply sweet structure with balanced vibrant acidity full syrupy mouthfeel the finish consolidates to notes of dried fig and molasses supported by a rich dark chocolate
214,cleanly fruit toned delicately rich rum cordial orange zest coconut plum cedar in aroma and cup sweet toned structure with gentle round acidity plump satiny smooth mouthfeel the inviting finish leads with coconut and plum in the short with notes of cedar and rum cordial returning in the long
215,delicate sweetly savory red currant honeysuckle roasted cacao nib agave syrup eucalyptus in aroma and cup lively acidity lifts the sweet savory structure full syrupy mouthfeel the richly drying finish consolidates to notes of red currant eucalyptus and cacao nib
216,fruit forward crisply sweet peach grapefruit zest hazelnut molasses oak in aroma and cup savory sweet structure with round gentle acidity full satiny mouthfeel the resonant finish centers around notes of peach grapefruit zest and oak
217,rich toned crisply sweet narcissus plum cedar cashew butter honey in aroma and cup sweet tart structure with soft acidity satiny smooth mouthfeel the finish resonates with plum and narcissus notes in the short consolidating to cashew and cedar in the long
218,fruit forward sweetly herbaceous raspberry coulis lemon verbena cacao nib sandalwood freesia like flowers in aroma and cup crisply sweet tart structure with brisk acidity satiny smooth mouthfeel the finish consolidates to raspberry and cocoa with a sandalwood throughline underneath
219,citrusy and spice toned lemon verbena gardenia like flowers sandalwood caramel pink peppercorn in aroma and cup richly sweet tart in structure with vibrant acidity full satiny mouthfeel the finish consolidates to lemon verbena and sandalwood in the short with caramel resurfacing in the long
220,delicately fruit toned richly cocoa driven ripe strawberry dark chocolate almond freesia like flowers a hint of wine barrel in aroma and cup sweet tart structure with crisp high toned acidity full syrupy mouthfeel the flavor saturated finish sustains all of the aroma and flavor notes promised by the cup
221,deftly roast touched richly chocolaty singed sandalwood dark chocolate dried mango saffron dahlia like flowers in aroma and cup sweet tart in structure with rich vibrant acidity viscous silky mouthfeel quiet chocolate and floral toned finish with a hint of saffron
222,delicate richly floral sweetly spice toned almond nougat white peach pink peppercorn wisteria like flowers fragrant sandalwood in aroma and cup richly bittersweet structure with vibrant juicy acidity plush syrupy mouthfeel resonant flavor saturated finish centers around peach wisteria and sandalwood
223,delicate sweetly herbaceous cocoa nib bergamot narcissus like flowers black tea cedar in aroma and cup sweet savory structure with rich citrusy acidity full syrupy mouthfeel the finish is redolent with notes of bergamot and narcissus in the short cocoa toned cedar in the long
224,bright crisp sweetly tart citrus medley cacao nib pink peppercorn dogwood almond in aroma and cup sweet tart structure with lively acidity crisp satiny mouthfeel the short finish is intense with notes of citrus and pink peppercorn while the long softens to almond toned florals
225,deeply sweet richly savory dark chocolate pistachio red currant jam honeysuckle a hint of marjoram in aroma and cup balanced sweetly savory structure with elegant lilting acidity lush syrupy mouthfeel the resonant finish consolidates to notes of dark chocolate and red currant with undertones of crisp marjoram
226,fruit forward richly chocolaty raspberry coulis chocolate fudge brandy cedar mace in aroma and cup sweet tart structure with gentle rounded acidity full creamy mouthfeel fruit toned finish think berries enveloped in chocolate with a hint of mace in the long
227,high toned balanced crisply sweet apricot tangerine zest dark chocolate honey rhododendron in aroma and cup sweet tart structure with juicy bright acidity buoyant syrupy mouthfeel the rich finish is centered around notes of dark chocolate and tangerine zest with vanilla toned florals
228,bright crisply sweet chocolaty lemon blossom nougat roasted cacao nib pomegranate violet in aroma and cup balanced sweetly tart structure with juicy bright acidity satiny smooth mouthfeel the resonant finish centers around cocoa and lightly expressed citrus notes
229,wild unruly utterly brilliant and original intensely and intricately floral toned opulent lily through delicate violet with a shifting bouquet of possibilities between at the heart of aroma and flavor is a cidery brandyish compote of fruit apple passion fruit lychee rounded by a fine cocoa toned chocolate the structure is shifty simultaneously sweet crisply bitterish and tart the mouthfeel plump and syrupy the finish rings on with continuing layers of fruit flowers cocoa and coconut
230,floral toned richly sweet narcissus roasted cacao nib toffee apricot sandalwood in aroma and cup deeply sweet tart structure with juicy bright acidity full syrupy mouthfeel resonant finish centers around cocoa toned narcissus and apricot
231,deep richly sweet savory black currant fine musk toffee jasmine celery seed in aroma and cup sweet savory in structure with bright juicy acidity plush syrupy mouthfeel the flavor saturated finish is equal parts sweet leaning black currant toffee jasmine and savory musk celery seed
232,spiced toned richly floral wisteria sweet lime zest date white peppercorn cocoa powder in aroma and cup sweet tart structure with punchy acidity crisp lively satiny mouthfeel the short finish suggests a cannabis like pungency while cocoa and wisteria notes carry into the long
233,richly bittersweet complexly fruit toned chocolate fudge dried mulberry candied pink grapefruit zest pistachio brittle wisteria like flowers in aroma and cup deeply sweet structure with high toned lively acidity velvety mouthfeel the finish centers around notes of chocolate fudge and dried mulberry with a pleasingly bittersweet pink grapefruit throughline
234,evaluated as espresso floral toned sweetly roast deep frangipane chocolate fudge black currant jasmine gently scorched cedar in aroma and small cup velvety smooth mouthfeel the rich resonant finish centers around notes of black currant and jasmine with with hints of salted fudge in three parts milk chocolate and floral tones bloom richly and black currant deepens
235,crisp high toned richly sweet strawberry cocoa powder honeysuckle cedar cashew butter in aroma and cup sweet tart structure with bright acidity crisp satiny mouthfeel the finish consolidates to cocoa and honeysuckle with a throughline of rich cedar like aromatic wood
236,richly spice toned chocolaty dark chocolate peppercorn medley dried persimmon gardenia singed oak in aroma and cup sweet toned structure with mild acidity satiny surprisingly full mouthfeel crisp cocoa laden finish with gardenia and persimmon as supporting undertones
237,bright richly sweet jasmine guava pine nut maple syrup nutella in aroma and cup sweet toned structure with crisp citrusy acidity velvety smooth mouthfeel floral toned in the short finish chocolaty in the long
238,bright crisp sweetly tart apricot almond cocoa nib cedar honey in aroma and cup sweet tart structure with juicy acidity velvety mouthfeel a quietly rich finish centers around apricot and honey with cocoa nuance
239,fruit centered crisply sweet bing cherry magnolia oak agave syrup baker s chocolate in aroma and cup sweet toned structure with gentle acidity satiny full mouthfeel the short finish leads with notes of cherry and baker s chocolate rounding to deep low toned flowers in the long
240,high toned deeply sweet mango gardenia fresh cut pine molasses hazelnut in aroma and cup sweet tart structure with pert lively acidity viscous lightly syrupy mouthfeel the finish is redolent with mango and hazelnut
241,balanced fruit toned deeply sweet mulberry wine barrel dark chocolate sandalwood freesia in aroma and cup sweet tart structure with wine like acidity satiny smooth mouthfeel the finish leads with mulberry and dark chocolate supported by spice toned aromatic wood and freesia like flowers
242,richly sweet savory spice toned lemon verbena mango cacao nib freesia like flowers almond butter in aroma and cup balanced bittersweet structure with vibrant juicy acidity delicate silky smooth mouthfeel the resonant lingering finish centers around cocoa toned mango and almond
243,rich toned deeply sweet and complexly engaging black cherry dark caramel hazelnut magnolia like flowers cedar in aroma and cup sweet toned structure with round gentle acidity plush syrupy mouthfeel caramelly finish with hazelnut and magnolia in the foreground
244,high toned crisply sweet tart apricot almond maple syrup narcissus like flower cedar in aroma and cup sweetly tart structure with bright juicy acidity satiny mouthfeel resonant flavor saturated finish apricot and narcissus in the short with cedar resurfacing in the long
245,richly sweet savory cocoa toned apricot cocoa nib maple syrup jasmine hint of marjoram in aroma and cup sweetly savory in structure with pert acidity plush syrupy mouthfeel rich resonant finish that leads with apricot and jasmine in the short rounding to crisp cocoa nib in the long
246,fruit toned richly sweet dried mango coconut freesia honey fir a hint of aged grappa in aroma and cup sweet toned structure with winy acidity creamy mouthfeel the fruit forward character carries into the finish where aromatic wood notes are also amplified
247,richly sweet with savory undertones mulberry rhododendron agave syrup oak a hint of thyme in aroma and cup sweet toned structure with round gentle acidity velvety smooth mouthfeel the quiet finish is carried by notes of mulberry rhododendron and thyme
248,nuanced multi layered richly sweet savory black currant dark chocolate sweet marjoram narcissus maple syrup in aroma and cup sweet toned structure with savory underpinnings vibrant juicy acidity the saturated finish consolidates to black currant chocolate and marjoram
249,richly sweet spice toned star jasmine mango chutney sandalwood cacao nib pink peppercorn in aroma and cup sweet savory structure with crisp acidity plush syrupy mouthfeel a richly drying finish leads with notes of jasmine and mango supported by hints of incense like sandalwood
250,multi layered and expressive star jasmine cherry maple syrup cocoa nib almond in aroma and cup sweetly tart structure with lively acidity full syrupy mouthfeel the resonant finish leads with notes of jasmine and almond in the short with cocoa toned cherry returning in the long
251,lush deeply floral resonantly tropical plumeria coconut dark chocolate tamarind frankincense in aroma and cup the structure is superbly balanced among sweet savory and tart with juicy bright acidity plush syrupy mouthfeel the seemingly eternal finish sustains all of the flavor notes from the cup in ringing harmony
252,deep rich pungent fresh cantaloupe tangerine zest caramelly chocolate sandalwood magnolia like flowers in aroma and cup roundly and sweetly brisk in structure satiny in mouthfeel fruit floral and sandalwood carry into a crisply drying though sweet toned finish
253,sweetly pungent earthy moist fresh fallen leaves orange zest fresh cut pine cocoa lily in aroma and cup richly tart in structure with a savory edge light but buoyant mouthfeel the finish consolidates around cocoa orange and a deep lily like floral note
254,brightly sweet deeply pungent fine musk black currant baker s chocolate violet oak in aroma and cup sweet toned structure with juicy acidity crisp lightly syrupy mouthfeel the flavor saturated finish consolidates around musk and currant notes with a hint of baker s chocolate
255,richly sweet savory passionfruit dark chocolate hop flowers almond butter wine barrel in aroma and cup deep sweet savory structure with wine like acidity very full syrupy mouthfeel crisp richly fruit toned finish with a throughline of dark chocolate
256,rich crisp and spicy complex aroma and flavor blackcurrant dried blackberry sandalwood blood orange zest lavender deeply pungent in structure long resonant finish a cocoa hint surfaces to complicate orangy citrus and lavender like floral notes
257,crisply sweet savory spice toned cocoa powder black cherry sweet kabocha squash freesia like flowers lemongrass in aroma and cup sweetly savory structure with gentle acidity velvety smooth mouthfeel the resonant finish consolidates to notes of cocoa and lemongrass with a throughline of kabocha squash
258,deep sweet gently roasty orange zest scorched cedar cocoa roasted cashew a hint of lily in aroma and cup roasty pungent but sweet in structure plush and lightly syrupy in mouthfeel chocolaty richly drying in the finish
259,deeply sweet richly drying complexly sweet savory nutella sumac oak clove loquat hop blossom in aroma and cup rounded and rich though drying in structure brisk juicy acidity very full syrupy mouthfeel the short finish consolidates around prominent oak and sumac with hints of cocoa and fruit the long turns rather dry though remains resonant
260,richly fruit toned musky sweet raspberry jam fine musk apple brandy hop flowers almond in aroma and cup balanced sweet tart savory in structure with vibrant juicy acidity buoyant syrupy mouthfeel crisp resonant finish with raspberry brandy and hops carrying into the long
261,evaluated as espresso richly savory leaning deeply sweet tamarind dark chocolate sunchoke wisteria almond butter in aroma and small cup velvety smooth mouthfeel cocoa and nut toned finish in three parts milk sweet and savory present in particularly harmonious balance
262,richly sweet savory spice toned baker s chocolate spice box narcissus like flowers almond peach in aroma and cup savory sweet structure with gentle round acidity full syrupy mouthfeel the crisp finish centers on notes of baker s chocolate and almond with a hint of sweet flowers
263,richly sweet cocoa and fruit toned concord grape cocoa nib sandalwood maple syrup lilac in aroma and cup sweet toned structure with bright juicy acidity plush syrupy mouthfeel resonant flavor saturated finish that highlights fruit and cocoa tones
264,shifting original startling in its giddy intricacy winey pine think retsina wine cocoa powder green apple concord grape ginger blossom much more in aroma and cup sweetly and delicately pungent in structure lightly syrupy and almost effervescently buoyant in mouthfeel the winey pine character and a floral sweetness carry persuasively into a crisp finish
265,delicate sweetly pungent apple brandy reduction hazelnut lime zest freesia and fir in aroma and cup low toned savory edged structure with gently tart acidity smooth lightly creamy mouthfeel quietly rich toned finish with a hint of tart apple in the long
266,richly sweet subtly earth toned lightly roasty distinct dark chocolate black cherry fresh turned loam cedar freesia like flowers in aroma and cup sweet tart in structure with a savory bottom lightly syrupy mouthfeel the loamy earth notes and dark chocolate dominate in a very sweet layered finish
267,richly and vivaciously sweet savory pipe tobacco date grapefruit zest spearmint rose like flowers in aroma and cup sweetly tart and deeply savory almost meaty in structure syrupy but crisply drying mouthfeel flavor consolidates around grapefruit spearmint and rose in a savory bottomed lasting finish
268,soft balanced cocoa and nuts baking chocolate tangerine zest nut hazelnut pistachio fresh cut pine in aroma and cup delicately brisk in structure light though silky mouthfeel finish is resonant but drying consolidating around unsweetened chocolate and nut
269,vibrant juicy brightly fruit toned and spicily floral wild strawberry honey dried gardenia pistachio butter pink peppercorn in aroma and cup sweet tart structure with crisp fresh acidity viscous lively mouthfeel the finish amplifies rich floral and fruit with support from deep spice and earthy honey suggestions
270,floral and sweetly herbaceous with richly framed depth jasmine spearmint chocolate watermelon fine musk in aroma and cup deeply sweet structure with vibrant juicy acidity plush syrupy mouthfeel the resonant flavor saturated finish centers around chocolate and jasmine with musk undertones
271,sweetly spice toned richly chocolaty salted chocolate hop flowers concord grape ginger a hint of aged grappa in aroma and cup sweet savory structure with fruit forward wine toned acidity full syrupy mouthfeel the finish leads with concord grape and ginger in the short followed by hops in the long all bound by a throughline of savory sweet chocolate and aged grappa
272,classic balanced rich toned honeysuckle red currant toffee dried coconut mango in aroma and cup sweetly tart in structure with bright acidity velvety smooth mouthfeel the finish consolidates to toffee toned red currant in the short and coconut in the long
273,richly fruit toned complexly layered cacao nib jujube red date marjoram freesia like flowers fresh pipe tobacco in aroma and cup sweetly tart structure with bright acidity lightly satiny mouthfeel the rich long finish is flavor saturated consolidating to cocoa fresh tobacco and marjoram
274,crisply sweet fruit and spice toned apricot oak baker s chocolate freesia sandalwood in aroma and cup deeply sweet structure with a tart lift and lively acidity satiny smooth mouthfeel the finish centers around crisp stone fruit and aromatic wood notes with a hint of spicy flowers underneath
275,crisply sweet tart balanced rose hips almond nougat orange zest apricot cedar in aroma and cup sweet toned structure with gentle round acidity velvety smooth mouthfeel the finish consolidates to pretty notes of nougat and apricot with a hint of cedar
276,high toned sweetness crisply tart pleasantly salty edged dried apricot tamarind salted chocolate cedar magnolia in aroma and cup gently low toned with balanced tart and salty savory structure briskly juicy acidity full buttery mouthfeel flavor simplifies in the finish with hints of salted cocoa and dry cedar carrying into the long
277,unorthodox but coherent and compelling pungent rose fresh fennel frond ripe cantaloupe walnut marshmallow in aroma and cup roundly sweet savory in structure with an impressively smooth plush mouthfeel rose like flowers prevail in a deeply rich finish
278,very sweet floral deeply rich date tangerine zest fresh pipe tobacco freesia like flowers dark chocolate in aroma and cup complex and deeply rich structure roundly tart acidity full syrupy mouthfeel the finish is dry but rings with rich tobacco and unsweetened chocolate far into the long
279,very sweet richly perfumed wood framed pipe tobacco lychee fruit spice box freesia like flowers amber and musk in aroma and cup richly densely composed structure crisply tart acidity impressively syrupy smooth mouthfeel the finish consolidates pleasantly into a slightly drying though rich toned spicy tobacco
280,richly sweet cocoa toned dark chocolate apricot hazelnut lilac maple syrup in aroma and cup balanced bittersweet structure with rounded acidity satiny smooth mouthfeel the finish is thoroughly chocolaty with undertones of apricot and hazelnut
281,deeply sweet intensely pungent dark chocolate pink grapefruit zest wisteria maple syrup myrrh in aroma and cup deeply sweet toned in structure with lively juicy acidity syrupy mouthfeel the finish is long and satisfying flavor saturated floral chocolate and fruit toned harmoniously balanced
282,elegant tropical rich toned strawberry guava honeysuckle almond sandalwood cacao nib in aroma and cup richly sweet structure with bright vibrant acidity lush syrupy mouthfeel lingering notes of strawberry and honeysuckle in the delicate finish
283,juicy bright deeply and richly sweet dried strawberry toffee lilac myrrh maple syrup in aroma and cup sweet tart structure with vivacious acidity full syrupy mouthfeel the resonant finish consolidates to notes of strawberry and toffee
284,richly savory sweet balanced layered and lively red currant maple syrup honeysuckle sandalwood dark chocolate in aroma and cup deeply sweet savory structure with juicy confident acidity full syrupy mouthfeel long flavor saturated finish centers around red fruit and sweet spicy floral notes
285,cleanly fruit toned richly sweet tart raspberry freesia oak pistachio cacao nib in aroma and cup sweetly tart structure with gentle rounded acidity full velvety mouthfeel raspberry and freesia notes animate the elegant crisply sweet finish
286,evaluated as espresso deep rich chocolaty dried apricot dark chocolate hazelnut molasses cedar in aroma and small cup satiny smooth mouthfeel crisp sweetly nut toned finish chocolate leads in three parts milk followed by notes of molasses and hazelnut
287,a complex and overwhelming aromatic immersion pink bubblegum winter spices salted fudge candied ginger elderflower herbal liqueur yellow chartreuse in aroma and cup the structure is dramatic basic tastes are all disconcertingly intense including sweet salt and savory yet they all somehow layer and satisfy very full and syrupy mouthfeel with a spicy drying edge the finish is resonant slightly bittersweet though chocolaty and rich
288,elaborate vibrant exhilarating dark chocolate truffle strawberry guava candied ginger lilac myrrh in aroma and cup crisply sweet tart structure with bright succulent acidity very syrupy mouthfeel the finish is zesty in the short and cocoa and floral toned in the long
289,richly bittersweet with pleasing savory undertones milk chocolate hop flowers apricot narcissus sandalwood in aroma and cup savory sweet structure with brisk acidity plush satiny mouthfeel crisp resonant finish with notes of milk chocolate and hop flowers
290,evaluated as espresso round balanced softly and sweetly tart mango orange zest pistachio cedar cocoa satiny mouthfeel cedar nut and cocoa carry into a resonant lightly drying finish custardy orange and chocolate dominate in three parts milk
291,evaluated as espresso exquisitely aromatic high toned savory and impossibly floral toffee dried black currant myrrh lavender fine musk in aroma and small cup plush syrupy mouthfeel big complex finish that is equal parts sweet and savory in cappuccino scaled milk a whole new mid palate is created something akin to a mushroom custard
292,rich toned deeply floral honeysuckle nectarine pink peppercorn oak meyer lemon zest in aroma and cup vibrantly sweet tart structure with juicy acidity crisp satiny mouthfeel spice toned finish with pretty floral and citrus notes
293,deeply sweet fruit toned with a hint of sweet ferment baker s chocolate plum narcissus barrel aged rum cedar in aroma and cup sweet toned structure with brisk acidity full satiny mouthfeel richly drying flavor saturated finish
294,floral toned richly sweet wisteria toffee lime zest frankincense apricot in aroma and cup bittersweet structure with confident citrusy acidity delicate silky mouthfeel the crisp finish consolidates to notes of toffee and lime zest with undertones of frankincense
295,deeply rich equally sweet and savory brown sugar hop flowers toasted coconut chestnut sumac in aroma and cup sweet tart savory structure with vibrant juicy acidity viscous satiny mouthfeel the resonant finish consolidates to coconut and chestnut with undertones of brown sugar
296,richly fruit toned chocolaty dried raspberry dark chocolate sandalwood almond freesia like flowers in aroma and cup sweetly tart in structure with round gentle acidity full syrupy mouthfeel fruit and chocolate centered in the finish as well with pretty freesia notes
297,evaluated as espresso cocoa toned deeply sweet cocoa powder date cedar apricot blood orange zest in aroma and small cup big creamy mouthfeel the finish is redolent of cocoa and citrus zest in cappucino scaled milk cocoa tones are amplified as are notes of stone fruit and citrus
298,deeply sweet elegantly rich mulberry sandalwood tangerine zest jasmine baking spices in aroma and cup sweetly tart in structure with high toned juicy acidity plush syrupy mouthfeel the seemingly infinite finish fulfills the promise of the cup leading with deep berry and citrus zest rounding to floral toned spice
299,crisply sweet richly savory vibrant red currant jasmine maple syrup sandalwood cacao nib in aroma and cup the structure is harmoniously sweet tart savory with juicy lively acidity plush syrupy mouthfeel the richly drying finish centers around red currant and sandalwood with a hint of jasmine in the long
300,very sweet tart musky and rich sugarcane orange zest ripe peach gardenia myrhh in aroma with elegant tobacco and cocoa also emerging in the cup structure is deeply sweet savory with juicy acidity gently drying syrupy mouthfeel the resonant finish is crisp and rich cocoa tobacco florals and citrus zest carry into the long
301,balanced crisply sweet cocoa peach oak almond grapefruit zest in aroma and cup sweet toned brisk structure with a savory edge soft plush mouthfeel peach nut and oak carry into a sweet toned though roundly drying finish
302,deeply rich sweet complex cocoa nib ripe persimmon tangerine zest gardenia and myrrh in aroma and small cup rich lightly velvety mouthfeel crisp cocoa toned finish in three parts milk aromatics carry through distinctly with balanced pungency and sweetness
303,richly sweet fruit forward dried peach baker s chocolate jasmine cedar molasses in aroma and cup sweetly tart structure with bright juicy acidity crisp satiny mouthfeel long lingering finish that centers around dried peach and chocolate notes supported by cedar like wood
304,richly sweet fruit and floral toned blueberry narcissus agave syrup sandalwood dark chocolate in aroma and cup sweet in structure with gentle round acidity plushly syrupy mouthfeel the resonant finish leads with notes of blueberry and narcissus in the short rounding to aromatic wood framed chocolate in the long
305,sweetly floral and richly resinous cedar lemon zest dried jasmine cacao nib loquat in aroma and cup delicate sweetly brisk in structure silky and lively in mouthfeel flavor consolidates around cedar and cocoa in a crisp drying finish
306,evaluated as espresso richly roast toned floral and chocolaty gently scorched cedar baker s chocolate narcissus like flowers mango spearmint in aroma and small cup satiny mouthfeel chocolate and spicy roast notes carry in a dry but lasting finish the crisp chocolate dominates in three parts milk with continuing hints of flowers and mango like fruit
